엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,생산지,쌀,품목,국가:중국
중국,국가,생산지,팥,품목,국가:중국
중국,국가,생산지,콩,품목,국가:중국
미국,국가,생산지,콩,품목,국가:미국
중국,국가,생산지,녹두,품목,국가:중국
중국,국가,생산지,메밀,품목,국가:중국
중국,국가,생산지,콩나물콩,품목,국가:중국
중국,국가,생산지,건고추,품목,국가:중국
중국,국가,생산지,신선마늘,품목,국가:중국
중국,국가,생산지,양파,품목,국가:중국
중국,국가,생산지,생강,품목,국가:중국
중국,국가,생산지,참깨,품목,국가:중국
인도,국가,생산지,알땅콩,품목,국가:인도
중국,국가,생산지,알땅콩,품목,국가:중국
중국,국가,생산지,건고추,품목,국가:중국
중국,국가,생산지,마늘,품목,국가:중국
중국,국가,생산지,양파,품목,국가:중국
중국,국가,생산지,참깨,품목,국가:중국
중국,국가,생산지,생강,품목,국가:중국
중국,국가,생산지,콩나물콩,품목,국가:중국
중국,국가,생산지,알땅콩,품목,국가:중국
인도,국가,생산지,참깨,품목,국가:인도
중국,국가,수입량,쌀,품목,수입량:35001
중국,국가,수입량,팥,품목,수입량:2881
중국,국가,수입량,콩,품목,수입량:882
중국,국가,수입량,녹두,품목,수입량:25
중국,국가,수입량,메밀,품목,수입량:0
중국,국가,수입량,콩나물콩,품목,수입량:1620
중국,국가,수입량,건고추,품목,수입량:314
중국,국가,수입량,마늘,품목,수입량:899
중국,국가,수입량,양파,품목,수입량:11765
중국,국가,수입량,참깨,품목,수입량:2974
인도,국가,수입량,참깨,품목,수입량:600
미국,국가,수입량,콩,품목,수입량:6876
미국,국가,수입량,콩,품목,수입량:6876
중국,국가,수입량,콩,품목,수입량:128
중국,국가,수입량,콩,품목,수입량:1620
중국,국가,수입량,녹두,품목,수입량:25
중국,국가,수입량,메밀,품목,수입량:0
중국,국가,수입량,콩나물콩,품목,수입량:899
중국,국가,수입량,알땅콩,품목,수입량:25
중국,국가,수입량,건고추,품목,수입량:314
중국,국가,수입량,양파,품목,수입량:11765
중국,국가,수입량,생강,품목,수입량:899
인도,국가,수입량,참깨,품목,수입량:600
