엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
밀키드,제품,제목,간편조리세트,제품,시기:2023년 5월 4주;국가:한국
간편조리세트,제품,구분,즉석조리식품,제품,시기:2020년 10월 16일
밀키트,제품,구분,가공식품,제품,시기:2022년 1월
밀키트,제품,구분,국내시장,시장,시기:2022년
밀키트,제품,구분,글로벌시장,시장,시기:2022년
밀키트,제품,구분,수출액,금액,시기:2022년
밀키트,제품,구분,시장규모,금액,시기:2022년
밀키트,제품,구분,시장점유율,퍼센트,시기:2022년
밀키트,제품,구분,브랜드,브랜드명,시기:2022년
이마트,기업,시장점유율,피코크,브랜드,시기:2022년
프레시지,기업,시장점유율,프레시지,브랜드,시기:2022년
잔즈온,기업,시장점유율,잇즈온,브랜드,시기:2022년
국짓,기업,시장점유율,국짓,브랜드,시기:2022년
헬로프레시,기업,시장점유율,헬로프레시,브랜드,시기:2022년
홈셰프,기업,시장점유율,홈셰프,브랜드,시기:2022년
블루에이프런,기업,시장점유율,블루에이프런,브랜드,시기:2022년
마이세프,기업,시장점유율,마이세프,브랜드,시기:2022년
GS리테일,기업,시장,수산물간편조리세트,제품,시기:2023년
삼심해물,기업,시장,수산물간편조리세트,제품,시기:2023년
푸드안푸드,기업,수상,수산물가공,기업,시기:2022년
한슬제지,기업,포장재개발,친환경포장재,포장재,시기:2027년
콤플러스,기업,매출증가,냉동간편조리세트,제품,시기:2022년 상반기
로데마트,기업,매출증가,냉동간편조리세트,제품,시기:2022년
GS리테일,기업,신제품,수산물간편조리세트,제품,시기:2023년
Yoshikei,기업,시장점유율,일본,국가,시기:2022년
Kit Oisix,기업,시장점유율,일본,국가,시기:2022년
Yeo,기업,시장점유율,독일,국가,시기:2022년
Hello Fresh,기업,시장점유율,독일,국가,시기:2022년
Home Chef,기업,시장점유율,미국,국가,시기:2022년
Blue Apron,기업,시장점유율,미국,국가,시기:2022년
Marley Spoon,기업,시장점유율,독일,국가,시기:2022년
Gousto,기업,시장점유율,영국,국가,시기:2022년
Mindful Chef,기업,시장점유율,영국,국가,시기:2022년
Pasta Evangelists,기업,시장점유율,영국,국가,시기:2022년
Tesco,기업,시장,인도식간편조리세트,제품,시기:2023년
이상,기타,관련,간편조리세트,제품,시기:2022년
