엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
건강기능식품,품목,사용하여,기능성 원료,원료,국가:한국;시기:2023년 12월
기능성 원료,원료,인정받아,식품이약품안전처,기관,국가:한국;시기:2023년 12월
기능성 원료,원료,등재,건강기능식품,품목,국가:한국;시기:2023년 12월
건강기능식품,품목,수출액,프로바이오텍스,품목,국가:한국;시기:2022년
건강기능식품,품목,수출액,홍삼,품목,국가:한국;시기:2022년
건강기능식품,품목,수출액,비타민및무기질,품목,국가:한국;시기:2022년
건강기능식품,품목,수입액,미국,국가,시기:2022년
건강기능식품,품목,수입액,독일,국가,시기:2022년
건강기능식품,품목,수입액,캐나다,국가,시기:2022년
건강기능식품,품목,수입액,인도,국가,시기:2022년
건강기능식품,품목,수입액,이탈리아,국가,시기:2022년
건강기능식품,품목,수입신고건수,미국,국가,시기:2022년
건강기능식품,품목,수입신고건수,독일,국가,시기:2022년
건강기능식품,품목,수입신고건수,캐나다,국가,시기:2022년
건강기능식품,품목,수입신고건수,인도,국가,시기:2022년
건강기능식품,품목,수입신고건수,이탈리아,국가,시기:2022년
건강기능식품,품목,수입국,미국,국가,시기:2022년
건강기능식품,품목,수입국,독일,국가,시기:2022년
건강기능식품,품목,수입국,캐나다,국가,시기:2022년
건강기능식품,품목,수입국,인도,국가,시기:2022년
건강기능식품,품목,시장규모,전세계,시장,시기:2022년
건강기능식품,품목,시장규모,유럽,시장,시기:2022년
건강기능식품,품목,시장규모,중국,시장,시기:2022년
건강기능식품,품목,시장규모,일본,시장,시기:2022년
건강기능식품,품목,시장규모,대만,시장,시기:2022년
건강기능식품,품목,시장규모,미국,시장,시기:2022년
건강기능식품,품목,시장규모,한국,시장,시기:2022년
