엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
로데월푸드,기업,제조,무설탕 디저트 브랜드 마일드 소홀핏,제품,출시일:2023.10,시기
이마트,기업,제조,무설탕 소홀렉,제품,출시일:2022.09.07,시기
칸타코리아,기업,조사,소홀핏 브랜드 인지도,조사,응답자수:100명,시기:2022.03
이달리아,국가,수입,초홀핏,품목,수입액:114000000달러,시기:2023
독일,국가,수입,초홀핏,품목,수입액:102000000달러,시기:2023
벌기에,국가,수입,초홀핏,품목,수입액:24369000달러,시기:2023
이탈리아,국가,수입,초홀핏,품목,수입액:114000000달러,시기:2023
중국,국가,수출,초홀핏,품목,수출비중:28.7%,시기:2023
일본,국가,수출,초홀핏,품목,수출비중:14.2%,시기:2023
대만,국가,수출,초홀핏,품목,수출비중:71.9%,시기:2023
필리핀,국가,수출,초홀핏,품목,수출비중:6.7%,시기:2023
홍콩,국가,수출,초홀핏,품목,수출비중:5.9%,시기:2023
감추다,기업,생산,감추할 수 있어 환경친화적 생산,기술,공정무역;친환경 생산
코트디부아르,국가,생산지,카카오 농장,지역,면적:770만에이커,시기:지난 50년
가나,국가,생산지,카카오 농장,지역,아동 노동자수:756만명,시기:2020
WNNN Food Labs,기업,개발,감추할 수 있어 환경친화적 생산,기술
칸타월드패널,기업,조사,불론드 조홀릿,제품,판매액증가:59796,시기:2023
마즈 리글리,기업,제조,불론드 조홀릿,제품,시장 성장 기대
웨이트로즈,기업,판매,불론드 조홀릿,제품,소비자 선호 증가
Mintell,기관,리포트,초홀핏 시장 전망,리포트,2027년까지 성장률:9.7%
Innova Market Insights,기관,조사,건강한 성분 초홀핏,리포트,20.7% 신제품 비중,2022
칸타월드패널,기관,조사,영국 불론드 조홀릿,리포트,판매액:59796,시기:2023
Ayear of innovation in chocolate confectionery,출처,시장 트렌드,초홀릿,리포트,2027년까지 성장
Seminal Biosciences,기업,연구,식물성 오일,기술,친환경 생산
코코아 농장,지역,생산,코코아,원료,환경파괴:770만에이커,시기:지난 50년
