엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
AARKE LoTTEFresh,품목,제조사,한국경제,기업,시기:2020
새 벼 새벼배소,품목,제조사,한국경제,기업,시기:2020
로 새벽배송,서비스,제공,메이필드호텔 서울,기업,시기:2020
보양식 소갈비짐,품목,판매처,마켓컬리,기업,시기:2020
브리야 사바행,품목,제조사,한국경제,기업,시기:2020
가공,품목,연도,2018,연도,시기:2018
가공,품목,연도,2019,연도,시기:2019
가공,품목,연도,2020,연도,시기:2020
MYCHEF Meal Kil solution,서비스,런칭형태,포상 도시락,품목,시기:2020
가격,속성,값,14200원,속성,시기:2020
인분,속성,값,20인분,속성,시기:2020
무게,속성,값,693g,속성,시기:2020
식재료수,속성,값,94개,속성,시기:2020
신선식품 비중,속성,값,51.296,속성,시기:2020
메인재료 비중,속성,값,5496,속성,시기:2020
조리시간,속성,값,15분,속성,시기:2020
레시피 비중,속성,값,한식:539;양식:2496;중식:109;일식:7;기타:6,속성,시기:2020
국물요리 비중,속성,값,31.59,속성,시기:2020
면요리 비중,속성,값,25296,속성,시기:2020
밀키트 가격 범위,속성,값,2000-34000원대,속성,시기:2020
밀키트 가격 범위,속성,값,4000-46000원대,속성,시기:2020
밀키트 가격 범위,속성,값,3000-75000원대,속성,시기:2020
떡볶이 밀키트,품목,가격대,6900원-28300원,속성,시기:2020
부대찌개 밀키트,품목,개수,26개,속성,시기:2020
닭갈비 밀키트,품목,개수,22개,속성,시기:2020
장홍 버섯 담은 삼합,품목,지역,서울,지역,시기:2020
연남동 맛집,품목,밀키트,심 플리국,품목,시기:2020
승림동식 알탕,품목,특징,시원한 맛,속성,시기:2020
강원 닭갈비,품목,시장,간편식,품목,시기:2020
수산물 스타트업,기업,사업,진어만어부,기업,시기:2020
수산물 판매업,업종,운영,수산물정보제공 사이트,서비스,시기:2020
수산물 유통,업종,특징,새벽배송,서비스,시기:2020
Red Cheddar Cheese & Cod Snack,품목,제조사,La Sirena,기업,시기:2020
젊은 엄마들,고객군,구매,신동진쌀,품목,시기:2020
신동진쌀,품목,특징,유기농,속성,시기:2019
단위 %,속성,값,단위 %,속성,시기:2020
새벽배송,서비스,성장,신선식품,품목,시기:2020
지역 명성,속성,내용,고시하카리,품목,시기:2020
쌀,품목,개발,해들신동진-영호진미-골문권,기업,시기:2020
고구마말램이,품목,인기,원물 간식,품목,시기:2020
