엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대만,국가,수출국,한국,국가,시기:2023년
대만,국가,수입국,한국,국가,시기:2023년
대만,국가,수입국,중국,국가,시기:2023년
대만,국가,수입국,일본,국가,시기:2023년
대만,국가,수입국,미국,국가,시기:2023년
대만,국가,수입국,홍콩,국가,시기:2023년
대만,국가,수입국,베트남,국가,시기:2023년
대만,국가,수입국,싱가포르,국가,시기:2023년
대만,국가,수입국,말레이시아,국가,시기:2023년
대만,국가,수입국,필리핀,국가,시기:2023년
한국,국가,수출국,대만,국가,시기:2023년
한국,국가,수출국,중국,국가,시기:2023년
한국,국가,수출국,미국,국가,시기:2023년
한국,국가,수출국,일본,국가,시기:2023년
한국,국가,수출국,홍콩,국가,시기:2023년
한국,국가,수출국,베트남,국가,시기:2023년
한국,국가,수출국,싱가포르,국가,시기:2023년
한국,국가,수출국,말레이시아,국가,시기:2023년
한국,국가,수출국,필리핀,국가,시기:2023년
한국,국가,수출품목,라면,품목,수출액:3,045만4천달러
한국,국가,수출품목,신선배,품목,수출액:2,118만5천달러
한국,국가,수출품목,조제식료품기타,품목,수출액:7,723만9천달러
한국,국가,수출품목,건조김,품목,수출액:약 3,990만달러
한국,국가,수출품목,조미김,품목,수출액:약 3,000만달러
대만,국가,수입국,한국,국가,시기:2023년
대만,국가,수입품목,신선인삼,품목,잔류농약기준:0.1ppm
대만,국가,수입품목,배,품목,잔류농약기준:0.1ppm
대만,국가,수입품목,복숭아,품목,잔류농약기준:0.1ppm
대만,국가,수입품목,감귤,품목,잔류농약기준:0.1ppm
대만,국가,수입품목,자몽종자추출물,품목,수입불가
대만,국가,수입품목,농산물,품목,잔류농약검출
대만,국가,수입품목,수산물,품목,감미료초과
대만,국가,수입품목,인삼,품목,잔류농약기준초과
대만,국가,수입품목,쌀,품목,잔류농약검출
대만,국가,수입품목,채소류,품목,잔류농약검출
대만,국가,수입품목,과실류,품목,잔류농약검출
대만,국가,수입품목,소스류,품목,첨가물사용규정부적합
대만,국가,수입품목,면류,품목,잔류농약검출
대만,국가,수입품목,농산물,품목,잔류농약검출
대만,국가,수입품목,수산물,품목,감미료초과
대만,국가,수입품목,자몽종자추출물,품목,수입불가
대만,국가,수입품목,농산물,품목,잔류농약검출
대만,국가,수입품목,수산물,품목,감미료초과
대만,국가,수입품목,인삼,품목,잔류농약기준초과
대만,국가,수입품목,쌀,품목,잔류농약검출
대만,국가,수입품목,채소류,품목,잔류농약검출
대만,국가,수입품목,과실류,품목,잔류농약검출
대만,국가,수입품목,소스류,품목,첨가물사용규정부적합
대만,국가,수입품목,면류,품목,잔류농약검출
