엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
국가,국가,수출국,싱가포르,국가,시기:2023년
품목,품목,수출품목,농식품,품목
품목,품목,수입품목,가금류,품목
기업,기업,수출업체,White Cafe Sdn. Bhd.,기업,국가:말레이시아
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe SDN. BHD.,기업,국가:말레이시아
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe Sdn. Bhd.,기업,국가:말레이시아
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe SDN. BHD.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe Sdn. Bhd.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe SDN. BHD.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe Sdn. Bhd.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe SDN. BHD.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe Sdn. Bhd.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe SDN. BHD.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
기업,기업,수출업체,Betagro MF Deli Co. Ltd.,기업,국가:태국
기업,기업,수입업체,CS Tay foods Pte Ltd.,기업,국가:싱가포르
기업,기업,수출업체,White Cafe Sdn. Bhd.,기업,국가:말레이시아
기업,기업,수입업체,JACOBS DOUWE EGBERTS RTL SCC SG PTE.,기업,국가:싱가포르
