엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,수출국,EU,국가,시기:2022년;시기:2023년
EU,국가,수입국,한국,국가,시기:2022년;시기:2023년
한국,기업,수출업체,ACEMARTmall PARIS,기업,담당자명:Ms. Lee
한국,품목,수출품목,김치,농산물,품목:김치
한국,품목,수출품목,버섯류,농산물,품목:버섯류
한국,품목,수출품목,과실류,농산물,품목:과실류
한국,품목,수출품목,복합식품,가공식품,품목:복합식품
한국,품목,수출품목,김치,가공식품,품목:김치
한국,품목,수출품목,라면,가공식품,품목:라면
한국,품목,수출품목,즉석섭취식품,가공식품,품목:즉석섭취식품
한국,품목,수출품목,가공식품,가공식품,품목:가공식품
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,복합식품,가공식품,품목:복합식품
한국,품목,수출품목,김치,농산물,품목:김치
한국,품목,수출품목,버섯류,농산물,품목:버섯류
한국,품목,수출품목,과실류,농산물,품목:과실류
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
한국,품목,수출품목,수산물,수산물,품목:수산물
한국,품목,수출품목,유제품,농산물,품목:유제품
한국,품목,수출품목,달걀,농산물,품목:달걀
한국,품목,수출품목,벌꿀,농산물,품목:벌꿀
한국,품목,수출품목,젤라틴,가공식품,품목:젤라틴
한국,품목,수출품목,콜라겐,가공식품,품목:콜라겐
한국,품목,수출품목,곤충,가공식품,품목:곤충
한국,품목,수출품목,홍삼,가공식품,품목:홍삼
한국,품목,수출품목,발효홍삼,가공식품,품목:발효홍삼
한국,품목,수출품목,식물성재료,농산물,품목:식물성재료
