엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
필리핀,국가,수출국,농식품,품목,시기:2023년
필리핀,국가,수입국,한국,국가,시기:2023년
필리핀,국가,수입국,미국,국가,시기:2023년
필리핀,국가,수입국,호주,국가,시기:2023년
필리핀,국가,수입국,인도네시아,국가,시기:2023년
필리핀,국가,수입국,베트남,국가,시기:2023년
필리핀,국가,수입국,중국,국가,시기:2023년
필리핀,국가,수입국,태국,국가,시기:2023년
필리핀,국가,수출국,한국,국가,시기:2023년
필리핀,국가,수출국,미국,국가,시기:2023년
필리핀,국가,수출국,네덜란드,국가,시기:2023년
필리핀,국가,수출국,중국,국가,시기:2023년
필리핀,국가,수출국,일본,국가,시기:2023년
필리핀,국가,수출국,한국,국가,시기:2023년
필리핀,국가,수출국,말레이시아,국가,시기:2023년
필리핀,국가,수출국,스페인,국가,시기:2023년
필리핀,국가,수출국,이탈리아,국가,시기:2023년
필리핀,국가,수출국,인도네시아,국가,시기:2023년
필리핀,국가,수출국,태국,국가,시기:2023년
필리핀,국가,수입국,한국,국가,시기:2023년
필리핀,국가,수입국,미국,국가,시기:2023년
필리핀,국가,수입국,호주,국가,시기:2023년
필리핀,국가,수입국,인도네시아,국가,시기:2023년
필리핀,국가,수입국,베트남,국가,시기:2023년
필리핀,국가,수입국,중국,국가,시기:2023년
필리핀,국가,수입국,말레이시아,국가,시기:2023년
필리핀,국가,수입국,태국,국가,시기:2023년
농식품,품목,수출,필리핀,국가,시기:2023년
농식품,품목,수입,한국,국가,시기:2023년
농식품,품목,수출,미국,국가,시기:2023년
농식품,품목,수입,필리핀,국가,시기:2023년
농식품,품목,수출,네덜란드,국가,시기:2023년
농식품,품목,수출,중국,국가,시기:2023년
농식품,품목,수출,일본,국가,시기:2023년
농식품,품목,수출,한국,국가,시기:2023년
농식품,품목,수출,말레이시아,국가,시기:2023년
농식품,품목,수출,스페인,국가,시기:2023년
농식품,품목,수출,이탈리아,국가,시기:2023년
농식품,품목,수출,인도네시아,국가,시기:2023년
농식품,품목,수출,태국,국가,시기:2023년
수출,거래,수출신고,관세청,기관,속성:전자신고시스템:UNI-PASS
수출,거래,수출신고,관세사,개인/기관,속성:서류제출:수출신고서,상업송장,포장명세서
수출,거래,수출신고,관세청,기관,속성:수출신고필증발급
수출,거래,수출검역,필리핀,국가,속성:수출검역신청서,검사대상식물명세서,수입허가증명서,수출검역요령준수서류
수출,거래,수출검역,수출업체,개인/기관,속성:수출검역신청서,검사대상식물명세서,수입허가증명서,수출검역요령준수서류
수출,거래,수출검역,필리핀,국가,속성:검역증명서
수출,거래,수출검역,필리핀,국가,속성:수출검역합격/불합격
수출,거래,수출검역,필리핀,국가,속성:수출검역불합격시 재검역
수출,거래,수출검역,필리핀,국가,속성:수출검역합격시 수출가능
수출,거래,수출,수출업체,개인/기관,속성:수출신고서,수출품목,수출거래계약서,수출증명서
수출,거래,수출,관세청,기관,속성:수출신고수리,수출신고필증
수출,거래,수출,필리핀,국가,속성:수출검역요건준수
수출,거래,수출,필리핀,국가,속성:수출증명서
수출,거래,수출,필리핀,국가,속성:수출검역합격/불합격
수출,거래,수출,수출업체,개인/기관,속성:수출신고서,수출품목,수출거래계약서,수출증명서
수출,거래,수출,관세청,기관,속성:수출신고수리,수출신고필증
수출,거래,수출,필리핀,국가,속성:수출검역요건준수
수출,거래,수출,필리핀,국가,속성:수출증명서
수출,거래,수출,필리핀,국가,속성:수출검역합격/불합격
수출,거래,수출,수출업체,개인/기관,속성:수출신고서,수출품목,수출거래계약서,수출증명서
수출,거래,수출,관세청,기관,속성:수출신고수리,수출신고필증
수출,거래,수출,필리핀,국가,속성:수출검역요건준수
수출,거래,수출,필리핀,국가,속성:수출증명서
