엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
홍콩,국가,수출대상국,농식품,품목,국가:홍콩;시기:2023
홍콩,국가,수입국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,미국,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,일본,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,캐나다,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,호주,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,칠레,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,브라질,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,인도네시아,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,홍콩,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,칠레,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,미국,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,일본,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,캐나다,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,호주,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,칠레,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,브라질,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,인도네시아,국가,국가:홍콩;시기:2023
홍콩,국가,수입국,홍콩,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,중국,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,대만,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,베트남,국가,국가:홍콩;시기:2023
홍콩,국가,수출대상국,한국,국가,국가:홍콩;시기:2023
