엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
2024년,연도,연도,"UAE 조미김 시장;2024년",시기,"시기:2024년"
조미김,품목,제조,씨위드,기업,제조사:A사
조미김,품목,제조,비비큐,기업,제조사:A사
조미김,품목,제조,치즈,기업,제조사:A사
조미김,품목,제조,시즌드,기업,제조사:F사
조미김,품목,제조,코리안,기업,제조사:B사
조미김,품목,제조,레버,기업,제조사:H사
조미김,품목,제조,로스티드,기업,제조사:C사
조미김,품목,판매,아마존,유통업체,판매채널:아마존
조미김,품목,판매,루루 하이퍼마켓,유통업체,판매채널:루루 하이퍼마켓
조미김,품목,판매,킵슨스,유통업체,판매채널:킵슨스
조미김,품목,판매,까르푸,유통업체,판매채널:까르푸
조미김,품목,판매,스피니즈,유통업체,판매채널:스피니즈
조미김,품목,판매,웨이트로즈,유통업체,판매채널:웨이트로즈
조미김,품목,판매,한아름,유통업체,판매채널:한아름
조미김,품목,포장,내부포장,속성,포장형태:플라스틱 트레이
조미김,품목,포장,외부포장,속성,포장형태:플라스틱 백
조미김,품목,인증,할랄,속성,인증:Halal
조미김,품목,인증,HACCP,속성,인증:HACCP
조미김,품목,인증,Vegan,속성,인증:Vegan
조미김,품목,인증,Gluten Free,속성,인증:Gluten Free
조미김,품목,원산지,한국,속성,원산지:대한민국
조미김,품목,중량,8g,속성,중량:8g
조미김,품목,중량,12g,속성,중량:12g
조미김,품목,중량,15g,속성,중량:15g
조미김,품목,중량,80g,속성,중량:80g
조미김,품목,가격,소비자가격,속성,가격:10.70디르함
조미김,품목,가격,10g당가격,속성,가격:13.38디르함
조미김,품목,가격,소비자가격,속성,가격:12.30디르함
조미김,품목,가격,10g당가격,속성,가격:15.38디르함
조미김,품목,가격,소비자가격,속성,가격:8.50디르함
조미김,품목,가격,10g당가격,속성,가격:7.08디르함
조미김,품목,가격,소비자가격,속성,가격:9.50디르함
조미김,품목,가격,10g당가격,속성,가격:6.33디르함
조미김,품목,가격,소비자가격,속성,가격:9.50디르함
조미김,품목,가격,10g당가격,속성,가격:6.33디르함
조미김,품목,가격,소비자가격,속성,가격:10.00디르함
조미김,품목,가격,10g당가격,속성,가격:6.67디르함
조미김,품목,가격,소비자가격,속성,가격:10.50디르함
조미김,품목,가격,10g당가격,속성,가격:7.00디르함
조미김,품목,가격,소비자가격,속성,가격:12.00디르함
조미김,품목,가격,10g당가격,속성,가격:8.00디르함
조미김,품목,가격,소비자가격,속성,가격:42.00디르함
조미김,품목,가격,10g당가격,속성,가격:5.25디르함
조미김,품목,가격,소비자가격,속성,가격:7.35디르함
조미김,품목,가격,10g당가격,속성,가격:6.13디르함
