엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대만,국가,시장,"인삼 가공품 경쟁제품",품목,시기:2024년
인삼 가공품 경쟁제품,품목,제조사,스탠다드 푸드,기업명,설립연도:1986
인삼 가공품 경쟁제품,품목,제조사,A사,기업명,설립연도:2009
인삼 가공품 경쟁제품,품목,제조사,B사,기업명,설립연도:1976
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼 농축액",품목,시기:2024년
대만,국가,시장,"인삼음료",품목,시기:2024년
대만,국가,시장,"홍삼 농축액",품목,시기:2024년
