엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대만,국가,시장,해초샐러드,품목,시기:2024년
칸소 주식회사,기업,제조,해초샐러드,품목,국적:일본;포장현지화:상;홍보현지화:상
까르푸,기업,유통,해초샐러드,품목,국적:대만;포장현지화:상;홍보현지화:상
다카기 해초 주식회사,기업,제조,해초샐러드,품목,국적:일본;포장현지화:상;홍보현지화:상
시티 슈퍼,유통채널,판매,해초샐러드,품목,지역:타이베이
까르푸,유통채널,판매,해초샐러드,품목,지역:타이베이
세븐일레븐,유통채널,판매,해초샐러드,품목,지역:타이베이
패밀리마트,유통채널,판매,해초샐러드,품목,지역:타이베이
칸소 주식회사,기업,진출,대만,국가,포장현지화:상;홍보현지화:상
까르푸,기업,진출,대만,국가,포장현지화:상;홍보현지화:상
다카기 해초 주식회사,기업,진출,대만,국가,포장현지화:상;홍보현지화:상
징동닷컴,온라인쇼핑몰,판매,해초샐러드,품목,리뷰수:290;가격:1740원
징동닷컴,온라인쇼핑몰,리뷰,맛,감성분석,긍정점수:514;부정점수:81
징동닷컴,온라인쇼핑몰,리뷰,품질,감성분석,긍정점수:428;부정점수:38
대만,국가,시장,해초샐러드,품목,시기:2024년
대만,국가,시장,해초샐러드,품목,중량평균:129g
대만,국가,시장,해초샐러드,품목,가격평균:55대만달러
대만,국가,시장,해초샐러드,품목,포장형태:플라스틱파우치
대만,국가,시장,해초샐러드,품목,원산지:대만|일본
대만,국가,시장,해초샐러드,품목,원료:다시마|미역줄기|김
대만,국가,시장,해초샐러드,품목,포장형태:플라스틱파우치|스티로폼|비닐랩
대만,국가,시장,해초샐러드,품목,판매채널:시티 슈퍼|까르푸|세븐일레븐|패밀리마트
대만,국가,시장,해초샐러드,품목,홍보문구:건강|영양|저칼로리|간편
대만,국가,시장,해초샐러드,품목,가격경쟁력:경쟁제품 평균보다 낮음
대만,국가,시장,해초샐러드,품목,중량:평균보다 적음
