엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
독일,국가,수입규모,침향차,품목,수입규모:2024(예상)30조9000억 원
독일,국가,시장성장률,온음료시장,성장률:-0.1%,시기:2019-2023
독일,국가,시장성장률,차시장,성장률:5.5%,시기:2019-2023
독일,국가,수입규모,침향차,수입액,2023:5663억 원
침향차,품목,수입규모,독일,수입액,2023:1699만 원
침향차,품목,성분,녹차,성분,빈도:24
침향차,품목,성분,생강,성분,빈도:14
침향차,품목,성분,카모마일,성분,빈도:12
침향차,품목,성분,히비스커스,성분,빈도:11
침향차,품목,성분,레몬그라스,성분,빈도:10
침향차,품목,효능/홍보문구,유기농,속성,빈도:119
침향차,품목,효능/홍보문구,천연,속성,빈도:78
침향차,품목,효능/홍보문구,선물,속성,빈도:8
침향차,품목,효능/홍보문구,휴식,속성,빈도:4
침향차,품목,효능/홍보문구,출산준비,속성,빈도:4
침향차,품목,중량,100g,속성,빈도:9
침향차,품목,중량,250g,속성,빈도:9
침향차,품목,포장,티백,속성,빈도:48
침향차,품목,포장,상자,속성,빈도:19
침향차,품목,포장,100g,속성,빈도:9
침향차,품목,포장,60g,속성,빈도:3
침향차,품목,포장,스틱,속성,빈도:2
침향차,품목,포장,봉지,속성,빈도:7
침향차,품목,포장,개별포장,속성,빈도:1
침향차,품목,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:36.4%
침향차,품목,유통채널,온라인,유통채널,점유율:13.2%
침향차,품목,유통채널,할인점,유통채널,점유율:17.1%
침향차,품목,유통채널,드럭스토어,유통채널,점유율:9.8%
침향차,품목,유통채널,전문점,유통채널,점유율:7.2%
침향차,품목,유통채널,기타,유통채널,점유율:24.3%
침향차,품목,유통채널,편의점,유통채널,점유율:2.1%
침향차,품목,유통채널,한국,유통채널,점유율:13.2%
침향차,품목,유통채널,독일,유통채널,점유율:36.4%
침향차,품목,유통채널,한국,유통채널,점유율:41.2%
침향차,품목,유통채널,온라인,유통채널,점유율:13.2%
침향차,품목,유통채널,아시안마트,유통채널,특징,중점:생강,카모마일,유기농
침향차,품목,유통채널,아시안마트,유통채널,특징,중점:중국산제품,7000종이상
침향차,품목,유통채널,백화점,유통채널,갤러리아,규모,매출액:30억달러
침향차,품목,유통채널,백화점,유통채널,카데베,규모,매장수:1개
침향차,품목,유통채널,편의점,유통채널,레베투고,매장수:905개
침향차,품목,유통채널,편의점,유통채널,스파익스프레스,매장수:334개
침향차,품목,유통채널,아시안마트,유통채널,고아시아,매장수:54개
침향차,품목,유통채널,온라인,유통채널,와이마트,매장수:2개
침향차,품목,수입규제,EORI번호,필수,통관절차,필수
침향차,품목,수출입,AEO,혜택,신속통관,적용
침향차,품목,인증,유럽식품안전청,준수,필수
침향차,품목,인증,ISO22000,취득,권장
침향차,품목,인증,FSSC22000,취득,권장
침향차,품목,인증,IFS,취득,권장
침향차,품목,인증,V-Label,비건,인증,권장
침향차,품목,라벨,제품명,상표,브랜드,기재
침향차,품목,라벨,원재료명,중량,백분율,기재
침향차,품목,라벨,성분,가공보조제,기재
침향차,품목,라벨,영양정보,포함,기재
침향차,품목,라벨,유통기한,기재,일,월,연도
침향차,품목,라벨,최소보존일,기재,일,월,연도
침향차,품목,라벨,알레르기,표기,글루텐,견과류,계란,어류,땅콩,대두,우유,셀러리,겨자,참깨,이산화황,루핀,연체동물
침향차,품목,포장재,생분해성,필터,사용,친환경포장
침향차,품목,효능,면역력증진,효과,녹차,생강,카모마일,히비스커스,레몬그라스
침향차,품목,시장,친환경포장,수요,증가
침향차,품목,시장,이국적향,수요,증가
침향차,품목,시장,건강효능,중시,중요
침향차,품목,시장,유기농,인기,높음
