엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 신선과일,품목,생산지,한국,국가,국가:한국
복숭아,품목,생산지,한국,국가,국가:한국
샤인머스캣,품목,생산지,한국,국가,국가:한국
딸기,품목,생산지,한국,국가,국가:한국
몽골,국가,수입원산지,중국,국가,국가:중국
몽골,국가,수입원산지,페루,국가,국가:페루
중국,국가,생산지,중국,국가,국가:중국
페루,국가,생산지,페루,국가,국가:페루
노민,기업,운영,몽골,국가,국가:몽골
B사,기업,운영,몽골,국가,국가:몽골
네이처라이프 팜,기업,생산,미국,국가,국가:미국
네이처라이프 팜,기업,생산,칠레,국가,국가:칠레
머큐리 마켓,매장,위치,울란바토르,도시,도시:울란바토르
노민,매장,위치,울란바토르,도시,도시:울란바토르
A사,기업,운영,울란바토르,도시,도시:울란바토르
A사,기업,운영,한국,국가,국가:한국
A사,매장,유형,하이퍼마켓,유형,유형:하이퍼마켓
A사,제품,판매,복숭아,품목,품목:복숭아
A사,제품,판매,샤인머스캣,품목,품목:샤인머스캣
A사,제품,판매,딸기,품목,품목:딸기
노민,기업,운영,울란바토르,도시,도시:울란바토르
노민,기업,운영,한국,국가,국가:한국
노민,매장,유형,슈퍼마켓,유형,유형:슈퍼마켓
노민,제품,판매,복숭아,품목,품목:복숭아
노민,제품,판매,샤인머스캣,품목,품목:샤인머스캣
노민,제품,판매,딸기,품목,품목:딸기
머큐리 마켓,매장,위치,울란바토르,도시,도시:울란바토르
머큐리 마켓,제품,판매,딸기,품목,품목:딸기
네이처라이프 팜,기업,운영,미국,국가,국가:미국
네이처라이프 팜,기업,운영,칠레,국가,국가:칠레
네이처라이프 팜,제품,생산,블루베리,품목,품목:블루베리
경쟁제품,품목,포장,플라스틱,포장형태,포장형태:플라스틱
경쟁제품,품목,원산지,중국,국가,국가:중국
경쟁제품,품목,원산지,몽골,국가,국가:몽골
경쟁제품,품목,원산지,페루,국가,국가:페루
경쟁제품,품목,포장,플라스틱,포장형태,포장형태:플라스틱
경쟁제품,품목,포장,종이상자,포장형태,포장형태:종이상자
경쟁제품,품목,생산정보,생산정보표기,기타표기사항,기타표기사항:생산정보
경쟁제품,품목,홍보문구,신선함 강조,홍보문구,홍보문구:신선함 강조
경쟁제품,품목,홍보문구,영양 강조,홍보문구,홍보문구:영양 강조
