엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,수산가공식품,품목,시장규모:7.1조원;시기:2023
한국,국가,수출,게장,품목,수출금액:0.9억원;중량:2톤;시기:2023
미국,국가,수입,게장,품목,수입액:3.9억원;중량:5톤;시기:2023
한국,국가,수출,게장,품목,수출금액:62.7억원;중량:874톤;시기:2023
미국,국가,수입단가,게장,품목,단가:1932만 원/톤;시기:2023
미국,국가,수입,HS CODE 1603.00,품목,수입액:232억 원;시기:2023
한국,국가,수출,게장,품목,수출금액:0.9억 원;중량:2톤;시기:2023
미국,국가,시장트렌드,수산가공식품,품목,성장률:4.5% CAGR;시기:2024-2028
미국,국가,유통채널,하이퍼마켓/슈퍼마켓,유형,점유율:65.0%
미국,국가,유통채널,소매점,유형,점유율:12.6%
미국,국가,유통채널,전문점,유형,점유율:5.2%
미국,국가,유통채널,편의점,유형,점유율:3.2%
미국,국가,유통채널,할인점,유형,점유율:2.7%
미국,국가,유통채널,기타,유형,점유율:11.3%
롯데플라자마켓,기업,입점,게장,품목,입점품목:육류;수산물;가공식품
에이치마트,기업,입점,게장,품목,입점품목:신선식품;가공식품
와와,기업,입점,게장,품목,입점품목:즉석식품;수산물
풀턴피쉬마켓,기업,입점,게장,품목,입점품목:신선수산물;수산가공식품
퍼시픽프레시피쉬,기업,입점,게장,품목,입점품목:수산물
메이시스,기업,입점,게장,품목,입점품목:가정용품;식료품
콜스,기업,입점,게장,품목,입점품목:가정용품;식료품
세븐일레븐,기업,입점,게장,품목,입점품목:가공식품;음료류;생활용품
와와,기업,입점,게장,품목,입점품목:즉석식품;수산물
풀턴피쉬마켓,기업,입점,게장,품목,입점품목:수산물
미국,국가,HS CODE,게장,품목,HS CODE:1603.00-9000
한국,국가,수출,게장,품목,수출금액:0.9억 원;중량:2톤;시기:2023
미국,국가,수입,게장,품목,수입액:3.9억 원;중량:5톤;시기:2023
미국,국가,수입단가,게장,품목,단가:1932만 원/톤;시기:2023
미국,국가,HS CODE,게장,품목,HS CODE:1603.00
한국,국가,수출,게장,품목,수출금액:62.7억 원;중량:874톤;시기:2023
미국,국가,수입,게장,품목,수입액:3.9억 원;중량:5톤;시기:2023
