엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,누룽지,품목,시장규모:68.9조원;시기:2023
미국,국가,시장성장률,누룽지,품목,CAGR:2.4%;시기:2019-2023
미국,국가,시장성장률,누룽지,품목,CAGR:3.3%;시기:2024-2028
미국,국가,수입액,HS CODE 1904.90,품목,수입액:4542억 원;시기:2023
미국,국가,수입액,HS CODE 1904.90,품목,수입액:1135억 원;시기:2023;국가:한국
미국,국가,수입액,HS CODE 1904.90,품목,수입액:4541억 원;시기:2022;국가:글로벌
미국,국가,수입액,HS CODE 1904.90,품목,수입액:187223만 달러;시기:2019;국가:글로벌
미국,국가,수입액,HS CODE 1904.90,품목,수입액:20056만 달러;시기:2019;국가:한국
미국,국가,시장규모,편의식,품목,시장규모:69.2조원;시기:2023
미국,국가,시장성장률,편의식,품목,CAGR:4.2%;시기:2019-2023
미국,국가,시장성장률,편의식,품목,CAGR:2.3%;시기:2024-2028
미국,국가,시장규모,스낵,품목,시장규모:68.9조원;시기:2023
미국,국가,시장성장률,스낵,품목,CAGR:2.4%;시기:2019-2023
미국,국가,시장성장률,스낵,품목,CAGR:3.3%;시기:2024-2028
미국,국가,시장규모,누룽지,품목,시장규모:약 2달러(2,765원);시기:2024
미국,국가,유통채널,누룽지,품목,유통채널:하이퍼마켓/슈퍼마켓;점유율:50.7%;시기:2024
미국,국가,유통채널,누룽지,품목,유통채널:온라인;점유율:6.6%;시기:2024
미국,국가,유통채널,누룽지,품목,유통채널:편의점;점유율:6.3%;시기:2024
미국,기업,유통업체,월마트,기업,홈페이지:www.walmart.com;규모:6113억달러;위치:전역
미국,기업,유통업체,크로거,기업,홈페이지:www.kroger.com;규모:1500억달러;위치:전역
미국,기업,유통업체,시온마켓,기업,홈페이지:zionmarket.com;매장수:7개;위치:캘리포니아,텍사스,조지아
미국,기업,유통업체,에이치마트,기업,홈페이지:www.hmart.com;매장수:97개;위치:전역
미국,기업,온라인쇼핑몰,아마존,기업,홈페이지:www.amazon.com;규모:3956억달러;위치:전세계
미국,기업,유통업체,이베이,기업,홈페이지:www.ebay.com;규모:100억달러;위치:전세계
한국,국가,시장,누룽지,품목,시장규모:약 5.3조원;시기:2023
한국,국가,시장,편의식,품목,시장규모:약 10.7조원;시기:2023
한국,국가,시장,스낵,품목,시장규모:약 5.3조원;시기:2023
한국,국가,유통채널,누룽지,품목,유통채널:대형마트,한인마트;점유율:41.6%;시기:2024
한국,기업,유통업체,메가마트,기업,홈페이지:미상;매장수:미상;위치:미상
한국,기업,유통업체,하나로마트,기업,홈페이지:미상;매장수:미상;위치:미상
한국,기업,유통업체,이마트,기업,홈페이지:미상;매장수:미상;위치:미상
한국,기업,유통업체,롯데마트,기업,홈페이지:미상;매장수:미상;위치:미상
