엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,가공및냉동과일시장,시장,시기:2024;규모:12조 원
미국,국가,시장규모,소화제&정장제시장,시장,시기:2023;규모:2.4조 원
미국,국가,HS CODE,2008.99,품목,수입액:2850억 원;시기:2023
미국,국가,수입액,대한국,수입국,금액:2850억 원;시기:2023
메이시스,기업,유통채널,식료품,유통채널,유형:백화점;매장수:521;매출액:231억 달러
노드스트롬,기업,유통채널,여성남성기성복신발악세서리,유통채널,유형:백화점;매장수:362;매출액:146억9300만 달러
월그린,기업,유통채널,의약품건강보조식품,유통채널,유형:드럭스토어;매장수:1239;매출액:1391억 달러
에이치마트,기업,유통채널,한인마트,유통채널,유형:아시안마트;매장수:97;매출액:약 1조원
아마존,기업,유통채널,온라인쇼핑몰,유통채널,규모:3956억 달러;시기:2023
코스트코,기업,유통채널,대형할인점,유통채널,유형:창고형회원제;매장수:수백;매출액:수십조원
비타코스트,기업,유통채널,온라인쇼핑몰,유통채널,특징:대량판매;가격경쟁력
미국,국가,시장규모,가공및냉동과일시장,시장,시기:2023;규모:12조 원
미국,국가,시장성장률,가공및냉동과일시장,시장,연평균:CAGR:4.0%
미국,국가,시장규모,소화제&정장제시장,시장,시기:2023;규모:2.4조 원
미국,국가,시장성장률,소화제&정장제시장,시장,연평균:CAGR:1.7%
미국,국가,HS CODE,2008.99,품목,수입액:2850억 원;시기:2023
미국,국가,수입액,대한국,수입액,금액:2850억 원;시기:2023
미국,국가,수입액,글로벌,수입액,금액:2.7조 원;시기:2023
미국,국가,수입액,대글로벌,수입액,금액:2.7조 원;시기:2023
미국,국가,시장점유율,하이퍼마켓/슈퍼마켓,유통채널,점유율:44.2%;시기:2024
미국,국가,시장점유율,온라인,유통채널,점유율:6.2%;시기:2024
미국,국가,시장점유율,편의점,유통채널,점유율:6.2%;시기:2024
미국,국가,시장점유율,기타,유통채널,점유율:28.8%;시기:2024
한국,국가,시장점유율,하이퍼마켓/슈퍼마켓,유통채널,점유율:41.2%;시기:2024
한국,국가,시장점유율,기타,유통채널,점유율:23.7%;시기:2024
한국,국가,시장점유율,온라인,유통채널,점유율:13.2%;시기:2024
한국,국가,시장점유율,편의점,유통채널,점유율:8.9%;시기:2024
한국,국가,시장점유율,할인점,유통채널,점유율:7.4%;시기:2024
미국,국가,유통채널,창고형회원제매장,유통채널,특징:높은 점유율
미국,국가,시장규모,가공및냉동과일시장,시장,시기:2023;규모:12조 원
미국,국가,시장성장률,가공및냉동과일시장,시장,연평균:CAGR:4.0%
미국,국가,시장규모,소화제&정장제시장,시장,시기:2023;규모:2.4조 원
미국,국가,시장성장률,소화제&정장제시장,시장,연평균:CAGR:1.7%
미국,국가,HS CODE,2008.99,품목,수입액:2850억 원;시기:2023
미국,국가,수입액,대한국,수입액,금액:2850억 원;시기:2023
미국,국가,수입액,글로벌,수입액,금액:2.7조 원;시기:2023
미국,국가,수입액,대글로벌,수입액,금액:2.7조 원;시기:2023
