엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
2024,연도,시기,미국,국가,시기:2024년
미국,국가,수출국,발포 비타민,품목,시기:2024년
N사,기업,제조,발포 비타민,품목
아마존,온라인쇼핑몰,판매,발포 비타민,품목
월마트,온라인쇼핑몰,판매,발포 비타민,품목
크로거,온라인쇼핑몰,판매,발포 비타민,품목
타겟,오프라인유통채널,판매,발포 비타민,품목
씨브이에스,오프라인유통채널,판매,발포 비타민,품목
랄프스,오프라인유통채널,판매,발포 비타민,품목
월마트,오프라인유통채널,판매,발포 비타민,품목
라이트 에이드,오프라인유통채널,판매,발포 비타민,품목
바이엘,기업,제조,발포 비타민,품목,원산지:독일
레킷벤키저,기업,제조,발포 비타민,품목,원산지:영국
에너 라이프,기업,제조,발포 비타민,품목,원산지:호주
미국,국가,시장,발포 비타민,품목
아마존,온라인쇼핑몰,판매,발포 비타민,품목
월마트,온라인쇼핑몰,판매,발포 비타민,품목
크로거,온라인쇼핑몰,판매,발포 비타민,품목
타겟,오프라인유통채널,판매,발포 비타민,품목
씨브이에스,오프라인유통채널,판매,발포 비타민,품목
랄프스,오프라인유통채널,판매,발포 비타민,품목
월마트,오프라인유통채널,판매,발포 비타민,품목
라이트 에이드,오프라인유통채널,판매,발포 비타민,품목
발포 비타민,품목,경쟁제품,경쟁제품 1,품목,가격:8.25달러
발포 비타민,품목,경쟁제품,경쟁제품 2,품목,가격:8.25달러
발포 비타민,품목,경쟁제품,경쟁제품 3,품목,가격:8.25달러
경쟁제품 1,품목,제조사,바이엘,기업
경쟁제품 2,품목,제조사,레킷벤키저,기업
경쟁제품 3,품목,제조사,에너 라이프,기업
바이엘,기업,진출,미국,국가
레킷벤키저,기업,진출,미국,국가
에너 라이프,기업,진출,미국,국가
발포 비타민,품목,원산지,미국,국가
발포 비타민,품목,맛,오렌지|베리|시트러스,속성
발포 비타민,품목,포장,종이상자+플라스틱통,속성
경쟁제품 1,품목,가격,4.99달러,속성
경쟁제품 2,품목,가격,12.49달러,속성
경쟁제품 3,품목,가격,8.99달러,속성
경쟁제품 1,품목,포장,종이상자+플라스틱통,속성
경쟁제품 2,품목,포장,종이상자+PTP,속성
경쟁제품 3,품목,포장,종이상자+플라스틱통,속성
고객사 제품,품목,가격,저렴,속성
고객사 제품,품목,인증,HALAL,속성
고객사 제품,품목,맛,다양한맛,속성
고객사 제품,품목,포장,플라스틱통,속성
