엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,제조국,비빔국수 밀키트,품목,중량:586g;가격:없음;인증:HACCP FSSC 22000
월마트,Walmart,판매처,비빔국수 밀키트,품목,중량:586g;가격:없음;인증:HACCP FSSC 22000
트레이더 조,기업,판매처,비빔국수 밀키트,품목,중량:586g;가격:없음;인증:HACCP FSSC 22000
에이치 마트,H Mart,판매처,비빔국수 밀키트,품목,중량:586g;가격:없음;인증:HACCP FSSC 22000
패시지 푸드 USA,기업,경쟁기업,비빔국수 밀키트,품목,중량:586g;가격:3.64달러;인증:없음
B사,기업,경쟁기업,비빔국수 밀키트,품목,중량:436g;가격:6.49달러;원산지:한국
C사,기업,경쟁기업,비빔국수 밀키트,품목,중량:454g;가격:7.989달러;원산지:한국
한국,국가,원산지,비빔국수 밀키트,품목,중량:586g;가격:없음;인증:HACCP FSSC 22000
태국,국가,원산지,비빔국수 밀키트,품목,중량:320g;가격:3.64달러;원산지:태국
이탈리아,국가,원산지,비빔국수 밀키트,품목,중량:453g;가격:4.97달러;원산지:이탈리아
한국,국가,원산지,비빔국수 밀키트,품목,중량:436g;가격:6.49달러;원산지:한국
한국,국가,원산지,비빔국수 밀키트,품목,중량:454g;가격:7.989달러;원산지:한국
