엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입액,HS CODE 1905.90,품목,수입액:2023년 10000000000;연평균성장률:15.3%;글로벌순위:6위
미국,국가,시장규모,스낵,시장규모:69000억 원;연평균성장률:2.4%;2023년시장규모:69000억 원
미국,국가,시장규모,제과 &amp; 스낵,시장규모:178000억 원;연평균성장률:4.2%;2023년시장규모:178000억 원
미국,국가,시장규모,스낵,시장규모:69000억 원;연평균성장률:2.4%;2023년시장규모:69000억 원
미국,국가,시장규모,비건시장,시장규모:약 32억 달러;2023년 예상:약 45억 달러;2030년 예상:9조원
미국,국가,시장규모,새우칩,시장규모,시장규모:수입액 1515억 원(2019-2023 연평균성장률 15.3%)
미국,국가,시장규모,스낵,시장규모:69000억 원;연평균성장률:2.4%;2023년시장규모:69000억 원
미국,국가,시장규모,제과 &amp; 스낵,시장규모:178000억 원;연평균성장률:4.2%;2023년시장규모:178000억 원
미국,국가,시장규모,HS CODE 1905.90,수입액,수입액:2023년 10000000000;연평균성장률:15.3%;글로벌순위:6위
HS CODE 1905.90,품목,수입액,미국,국가,수입액:2019년 3934369만 달러;2023년 7085369만 달러;연평균성장률:15.8%
HS CODE 1905.90,품목,수입액,한국,국가,수입액:2019년 858억 원;2023년 1515억 원;연평균성장률:15.3%
아마존,기업,판매 채널,미국 새우칩,제품,판매 채널:아마존;판매 건수:월 200건 이상;리뷰:6100건
월마트,기업,유통 채널,미국 새우칩,제품,유통 채널:월마트;매장수:19개;매출액:6113억 달러
크로거,기업,유통 채널,미국 새우칩,제품,유통 채널:크로거;매장수:2750개;매출액:1500억 달러
세븐일레븐,기업,유통 채널,미국 새우칩,제품,유통 채널:세븐일레븐;매장수:9207개;매출액:813억 달러
이베이,기업,유통 채널,미국 새우칩,제품,유통 채널:이베이;거래량:월 7억 회
미국,국가,유통채널,하이퍼마켓/슈퍼마켓,점유율,점유율:42.2%
미국,국가,유통채널,할인점,점유율,점유율:18.5%
미국,국가,유통채널,온라인,점유율,점유율:5.7%
미국,국가,유통채널,편의점,점유율,점유율:6.0%
미국,국가,유통채널,전통시장,점유율,점유율:9.9%
미국,국가,유통채널,기타,점유율,점유율:20.0%
미국,국가,인증,USDA Organic,인증,인증명:USDA Organic;성격:유기농
미국,국가,인증,HACCP,인증,인증명:HACCP;성격:식품안전관리
미국,국가,인증,글루텐-프리,인증,인증명:글루텐-프리;성격:기능성
미국,국가,인증,Halal,인증,인증명:Halal;성격:종교적
미국,국가,인증,Vegan,인증,인증명:Vegan;성격:기능성
미국,국가,인증,FDA 등록,인증,인증명:FDA 등록;성격:식품안전
미국,국가,인증,ISO 22000,인증,인증명:ISO 22000;성격:식품안전
미국,국가,인증,Non-GMO,인증,성격:비GMO
미국,국가,라벨링,제품명,라벨,라벨명:제품명;필수표시:성분,알레르기,영양성분
미국,국가,라벨링,알레르겐,라벨,성분명:우유,달걀,생선,갑각류,견과류,땅콩,대두,밀,참깨
미국,국가,라벨링,영양성분,라벨,영양성분:칼로리,지방,포화지방,트랜스지방,콜레스테롤,나트륨,탄수화물,당류,단백질,비타민D,칼슘,철분,칼륨
미국,국가,라벨링,성분,라벨,성분:새우,타피오카 가루,설탕,소금,계란,팜유,마늘,파슬리,이산화규소,인산염
미국,국가,인증,Halal,인증,인증기관:미국 민간;성격:종교적
미국,국가,인증,USDA Organic,인증,인증기관:미국 농무부;성격:유기농
미국,국가,인증,글루텐-프리,인증,인증기관:글루텐 프리 인증기관;성격:기능성
미국,국가,인증,Vegan,인증,인증기관:비건 인지 재단;성격:기능성
