엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,소화음료,품목,시장규모:442조원;시기:2023년
한국,국가,시장규모,소화음료,품목,시장규모:12조원;시기:2023년
미국,국가,시장성장률,소화음료,품목,연평균성장률:2.8%;시기:2019-2023
미국,국가,시장성장률,소화음료,품목,연평균성장률:2.9%;시기:2024-2028
미국,국가,수입액,HS CODE 2202.99,품목,수입액:15408억 원;시기:2023년
미국,국가,수입액,HS CODE 2202.99,품목,수입액:1221억 원;시기:2023년
미국,국가,수입액,HS CODE 2202.99,품목,수입액:1724억 원;시기:2023년 (캐나다)
미국,국가,수입액,HS CODE 2202.99,품목,수입액:367억 원;시기:2023년 (멕시코)
미국,국가,수입액,HS CODE 2202.99,품목,수입액:145억 원;시기:2023년 (필리핀)
미국,국가,시장성장률,HS CODE 2202.99,품목,연평균성장률:11.1%;시기:2019-2023
미국,국가,시장규모,비탄산음료,품목,시장규모:95조원;시기:2023년
미국,국가,시장성장률,비탄산음료,품목,연평균성장률:2.3%;시기:2019-2023
미국,국가,시장규모,청량음료,품목,시장규모:442조원;시기:2023년
미국,기업,유통채널,월그린,기업명,홈페이지:www.walgreens.com
월그린,기업,규모,매출액,규모:1103억달러;매장수:8570개;시기:2024
아마존,기업,유통채널,아마존,기업명,홈페이지:www.amazon.com
아마존,기업,규모,매출액,규모:3956억달러;시기:2023
홀푸드마켓,기업,유통채널,홀푸드마켓,기업명,홈페이지:www.wholefoodsmarket.com
홀푸드마켓,기업,규모,매출액,규모:200억3000만달러;매장수:516개;시기:2023
트레이더조,기업,유통채널,트레이더조,기업명,홈페이지:www.traderjoes.com
트레이더조,기업,규모,매출액,규모:133억달러;매장수:587개;시기:2023
미국,기업,식품생산시설,FDA 등록,기관,목적:식품 안전성 평가;필수:등록 필요
미국,국가,인증,USDA Organic,품목,인증:유기농;기관:미국 농무부
미국,국가,인증,Halal,품목,인증:이슬람식품;기관:IFANCA
미국,국가,인증,글루텐프리,품목,인증:글루텐 프리;기관:GFCO
미국,국가,인증,Vegan,품목,인증:비건;기관:Vegan Action
미국,국가,라벨링,소화음료,품목,표기사항:제품명,성분,영양성분,알레르겐,포장형태
미국,국가,성분,주요성분,소화음료,성분,탄산수,생강,정향,구연산,멘톨,자두추출물
미국,국가,성분,기능성성분,소화음료,성분,프로바이오틱스,프리바이오틱스,비타민,항산화제
미국,국가,포장,캔,형태,소화음료,포장,캔(117회),유리병(108회),플라스틱병(77회)
미국,국가,중량,8oz,단위,소화음료,중량,15회
미국,국가,중량,12oz,단위,소화음료,중량,13회
미국,국가,홍보문구,소화가 잘되는,품목,홍보문구,232회
미국,국가,홍보문구,복부팽만감 감소,품목,홍보문구,217회
미국,국가,홍보문구,장 건강에 좋은,품목,홍보문구,176회
미국,국가,유통채널,하이퍼마켓/슈퍼마켓,점유율,42.2%
한국,국가,유통채널,하이퍼마켓/슈퍼마켓,점유율,51.7%
미국,국가,유통채널,할인점,점유율,18.5%
한국,국가,유통채널,할인점,점유율,33.6%
미국,국가,유통채널,드럭스토어,점유율,7.7%
한국,국가,유통채널,드럭스토어,점유율,0.0%
미국,국가,유통채널,온라인,점유율,5.7%
한국,국가,유통채널,온라인,점유율,3.7%
미국,국가,유통채널,편의점,점유율,6.0%
한국,국가,유통채널,편의점,점유율,0.6%
미국,국가,유통채널,기타,점유율,20.0%
한국,국가,유통채널,기타,점유율,20.0%
미국,국가,소비자인식,소화음료,유형,일반음료|건강보조식품|의약품
미국,국가,소비자선호,소화불량시,섭취품목,약|소화음료
미국,국가,포장선호,소화음료,포장형태,병|캔
미국,국가,성분선호,소화음료,성분,멘톨|자연성분
미국,국가,성분개선,소화음료,개선필요,합성향료|방부제
미국,국가,성공요인,소화음료,성공요인,효과|자연성분|인증
미국,국가,브랜드,인기브랜드,소화음료,올리팝|수자|케비타|비브오가닉
미국,국가,성분,인기성분,소화음료,멘톨|허브|식물성성분
미국,국가,홍보전략,소화음료,전략,천연성분|인증|온라인마케팅
