엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
제주 고등어살,품목,생산지,제주,지역,국가:한국
아마존,기업,운영,Amazon,기업,국가:미국
킹 오스카,기업,제조,로얄 필레 매커럴 인 올리브 오일,품목,중량:115g;국가:폴란드
와일드 플래닛,기업,제조,와일드 스모크드 매커럴,품목,중량:110g;국가:라트비아
와일드 플래닛,기업,제조,와일드 매커럴,품목,중량:125g;국가:모로코
콜스,기업,제조,와일드 매커럴 인 올리브 오일,품목,중량:125g;국가:카보베르데
시온마켓,기업,판매,라이틀리 솔티드 노르웨이 매커럴,품목,중량:850g;국가:한국
J사,기업,생산,제주 프로즌 솔티드 매커럴,품목,중량:1000g,국가:한국
아마존,기업,운영,아마존,기업,국가:미국
월마트,기업,운영,월마트,기업,국가:미국
홀푸드마켓,기업,운영,홀푸드마켓,기업,국가:미국
크로거,기업,운영,크로거,기업,국가:미국
킹 오스카,기업,홍보,자사 홈페이지,웹사이트,국가:노르웨이
콜스,기업,홍보,자사 홈페이지,웹사이트,국가:미국
와일드 플래닛,기업,홍보,자사 홈페이지,웹사이트,국가:미국
제주 고등어살,품목,포장,비닐,포장형태,포장
아마존,기업,판매,순살 고등어,품목,중량:690g;국가:폴란드
아틀라팩,기업,제조,패시픽 매커럴 인 잇츠 내츄럴 오일,품목,중량:425g,국가:중국
킹 오스카,기업,제조,로얄 필레 매커럴 인 올리브 오일,품목,중량:115g,국가:폴란드
와일드 플래닛,기업,제조,와일드 스모크드 매커럴,품목,중량:110g,국가:라트비아
시온마켓,기업,판매,라이틀리 솔티드 노르웨이 매커럴,품목,중량:850g,국가:한국
J사,기업,제조,제주 프로즌 솔티드 매커럴,품목,중량:1000g,국가:한국
