엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,인스턴트커피,품목,시기:2024;시장규모:119조원
미국,국가,시장규모,커피,품목,시기:2024;시장규모:약129조원
미국,국가,수입액,HS CODE 2101.12,품목,시기:2023;수입액:780억 원
미국,국가,수입액,대한국가,국가,시기:2023;수입액:156억 원
미국,국가,시장성,인스턴트커피믹스,품목,시기:2024;시장규모:약17조원
미국,국가,시장성,스테비아커피믹스,품목,시기:2024;시장규모:약17조원
미국,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,시기:2024;점유율:50.7%
미국,국가,유통채널,온라인,유통채널,시기:2024;점유율:6.6%
미국,국가,유통채널,편의점,유통채널,시기:2024;점유율:6.3%
미국,국가,유통채널,기타,유통채널,시기:2024;점유율:21.4%
미국,국가,유통채널,백화점,유통채널,시기:2024;점유율:6.6%
미국,국가,유통채널,온라인쇼핑몰,유통채널,시기:2024;점유율:6.6%
미국,국가,유통채널,대형마트,유통채널,시기:2024;점유율:6.3%
미국,국가,유통채널,전통시장,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,홈쇼핑,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,아마존,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,트레이더조,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,메이시스,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,노드스트롬,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,월마트,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,에이치마트,유통채널,시기:2024;점유율:기타
미국,국가,유통채널,기타,유통채널,시기:2024;점유율:기타
미국,국가,생산시설등록,미국 식품의약청(FDA),기관,시기:2024;등록필수:예
미국,국가,생산시설등록,수출입기업,기관,시기:2024;등록필수:예
미국,국가,인증,HACCP,기관,시기:2024;인증성격:식품생산안전
미국,국가,인증,FSSC 22000,기관,시기:2024;인증성격:식품생산안전
미국,국가,인증,ISO 22000,기관,시기:2024;인증성격:식품생산
미국,국가,인증,Halal,기관,시기:2024;인증성격:종교적
미국,국가,인증,글루텐-프리,기관,시기:2024;인증성격:기능성
미국,국가,라벨링,제품명,제품,시기:2024;표기:영어+외국어
미국,국가,라벨링,용량,제품,시기:2024;표기:영미법(oz,g)
미국,국가,라벨링,원산지,제품,시기:2024;표기:영어
미국,국가,라벨링,원료정보,제품,시기:2024;표기:중량내림차순
미국,국가,라벨링,영양성분,제품,시기:2024;표기:영양성분표
미국,국가,라벨링,알레르기정보,제품,시기:2024;표기:9대 알레르겐
미국,국가,라벨링,제조사,포장업체,시기:2024;표기:이름+주소
미국,국가,수출입안전관리,AEO,기관,시기:2024;혜택:신속통관,검사면제
미국,국가,수출입안전관리,수출입기업,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,운송인,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,창고업자,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,관세사,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,보세운송업자,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,화물운송주선업자,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,하역업자,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,선박회사,기관,시기:2024;혜택:신속통관
미국,국가,수출입안전관리,항공사,기관,시기:2024;혜택:신속통관
