엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,품목,제조사,전복죽,품목,원산지:한국;가격:4270;중량:320;포장:플라스틱파우치
아마존,기업,판매채널,아마존,기업,국가:미국
월마트,기업,판매채널,월마트,기업,국가:미국
에이치마트,기업,판매채널,에이치마트,기업,국가:미국
아마존,기업,판매채널,아마존,기업,국가:미국
월마트,기업,판매채널,월마트,기업,국가:미국
에이치마트,기업,판매채널,에이치마트,기업,국가:미국
A사,기업,경쟁기업,한국,국가,업력:71;품목수:17
B사,기업,경쟁기업,한국,국가,업력:55;품목수:21
C사,기업,경쟁기업,한국,국가,업력:10;품목수:8
A사,기업,진출채널,시온마켓,매장,포장현지화:미진행
A사,기업,진출채널,한남체인,매장,포장현지화:미진행
A사,기업,진출채널,에이치마트,매장,포장현지화:미진행
B사,기업,진출채널,시온마켓,매장,포장현지화:미진행
B사,기업,진출채널,에이치마트,매장,포장현지화:미진행
C사,기업,진출채널,한남체인,매장,포장현지화:중
C사,기업,진출채널,에이치마트,매장,포장현지화:중
전복죽,품목,원산지,한국,국가,원산지:한국
전복죽,품목,가격,약 4.27달러,가격,단위당가격:1.33달러/100g
전복죽,품목,중량,320g,중량
전복죽,품목,포장,플라스틱파우치,포장
전복죽,품목,재료,전복,원료
전복죽,품목,재료,쌀,원료
전복죽,품목,재료,당근,원료
전복죽,품목,재료,조개·야채추출물,원료
전복죽,품목,재료,생강·마늘추출물,원료
전복죽,품목,재료,참치추출물,원료
전복죽,품목,재료,덱스트린,원료
전복죽,품목,재료,왕느타리버섯,원료
전복죽,품목,재료,소금,원료
전복죽,품목,재료,글루탐산나트륨,원료
전복죽,품목,재료,참기름,원료
전복죽,품목,원산지,한국,국가
전복죽,품목,포장,플라스틱용기,포장
전복죽,품목,포장,종이상자,포장
전복죽,품목,홍보문구,부드러운 전복;100% 한국 쌀;깊고 고소한 국물,맛
전복죽,품목,홍보문구,건강,홍보
전복죽,품목,홍보문구,한국산,홍보
전복죽,품목,홍보문구,신선한 전복,홍보
전복죽,품목,원산지,한국,국가
전복죽,품목,재료,전복,원료
전복죽,품목,재료,쌀,원료
전복죽,품목,재료,양파,원료
전복죽,품목,재료,찹쌀,원료
전복죽,품목,재료,표고버섯,원료
전복죽,품목,재료,왕느타리버섯,원료
전복죽,품목,재료,소금,원료
전복죽,품목,재료,멸치액젓,원료
전복죽,품목,재료,양파분말,원료
전복죽,품목,재료,설탕,원료
전복죽,품목,재료,덱스트린,원료
전복죽,품목,재료,글루탐산나트륨,원료
전복죽,품목,재료,멍게추출물,원료
전복죽,품목,재료,전복추출물,원료
전복죽,품목,재료,옥수수기름,원료
전복죽,품목,재료,마늘,원료
전복죽,품목,재료,설탕,원료
전복죽,품목,재료,참기름,원료
전복죽,품목,재료,김,원료
전복죽,품목,재료,토코페롤,원료
전복죽,품목,원산지,한국,국가
전복죽,품목,포장,플라스틱용기,포장
