엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:79.1조원
미국,국가,시장규모,뿌리 채소 및 버섯,품목,시기:2023;시장규모:68억 원
미국,국가,수입액,HS CODE 0709.59,품목,시기:2023;수입액:154억 원
미국,국가,수입액,HS CODE 0709.59,품목,시기:2023;수입액:918억 원
미국,국가,시장규모,신선채소,품목,시기:2023;시장규모:79.1조원
미국,국가,시장규모,뿌리 채소 및 버섯,품목,시기:2023;시장규모:68억 원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
미국,국가,시장규모,팽이버섯,품목,시기:2024;시장규모:62.72조원
