엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,제조국,홍차,품목,원산지:미국
아마존,온라인쇼핑몰,판매처,트와이닝스 얼그레이 블랙 티,품목,가격:14.02달러;중량:200g
월마트,온라인쇼핑몰,판매처,비글로우 블랙 티,품목,가격:3.34달러;중량:33g
크로거,온라인쇼핑몰,판매처,그레이트 밸류 블랙 티,품목,가격:2.23달러;중량:226g
에이치마트,오프라인매장,판매처,레몬 라임 트위스트 블랙 티,품목,가격:3.49달러;중량:40g
타겟,오프라인매장,판매처,에이치티 얼그레이,품목,가격:5.89달러;중량:40g
트와이닝스,기업,제조사,트와이닝스,기업,설립연도:1706년
아마드 티,기업,제조사,아마드 티,기업,설립연도:1986년
비글로우,기업,제조사,비글로우,기업,설립연도:1945년
트와이닝스,기업,브랜드,트와이닝스,품목,제품명:잉글리시 브렉퍼스트;원산지:영국
아마드 티,기업,브랜드,아마드 티,품목,제품명:레몬 라임 트위스트 블랙 티;원산지:UAE
비글로우,기업,브랜드,비글로우,품목,제품명:블랙 티;원산지:미국
트와이닝스,기업,마케팅,전통적 영국 차 브랜드,속성,브랜드역사:1706년 설립;브랜드인지도:높음
아마드 티,기업,마케팅,글로벌 유통,속성,유통국가:80개국 이상
비글로우,기업,마케팅,스페셜티 차 선도,속성,특징:블렌딩 제품;3대째 가업
미국,국가,시장,차 시장,속성,인식:건강음료;유기농 선호;편리성중시
트와이닝스,기업,홍보,브랜드 스토리 강조,속성,홍보전략:역사와 품질 강조
아마드 티,기업,홍보,온라인 SNS 활용,속성,홍보채널:페이스북,인스타그램,유튜브
비글로우,기업,홍보,제품 가향 및 품질 강조,속성,홍보문구:최고의 블렌드;천연 재료
미국,국가,유통채널,대형 슈퍼마켓,속성,채널:월마트,크로거,타겟
온라인,유통채널,판매처,아마존,속성,판매경로:온라인쇼핑몰
고객사,기업,제품,홍차,품목,제품명:고품질 홍차;포장:알루미늄캔/박스;가격:14.99달러
고객사,기업,제품,포장,속성,포장형태:알루미늄캔/박스
고객사,기업,제품,성분,속성,성분:홍차,베르가못,꽃향
경쟁제품,제품,가격,비교,속성,평균100g당가격:9.50달러
고객사,제품,가격,비교,속성,단위당가격:16.66달러
고객사,제품,중량,비교,속성,중량:90g
경쟁제품,제품,중량,평균,속성,평균중량:65g
고객사,제품,성분,특징,속성,원료:스리랑카산 홍차,꽃향
고객사,제품,가격,적정성,속성,가격대:경쟁제품보다 높음
고객사,제품,포장,적합성,속성,포장:캔/박스,단점:포장 조잡
고객사,제품,성분,투명성,속성,생산과정:생산과정 공개 권장
고객사,제품,마케팅,전략,속성,전략:브랜드 스토리 강조,유기농 인증
미국,국가,시장,인식,속성,트렌드:건강,웰니스,유기농,편리성
트와이닝스,기업,제품,전통,속성,제품특징:영국 전통 블렌드,티백
아마드 티,기업,제품,프리미엄,속성,제품특징:유기농,고품질
비글로우,기업,제품,특징,속성,가향:과일,향신료 블렌딩
이상 CSV 형식으로 엔터티와 관계, 속성을 정리하였으며, 문서 내 주요 정보와 비교, 시장 인식, 유통 채널, 제품 특징 등을 포괄하였습니다.
