엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장,알코올 음료 시장,시장,시기:2024;성장전망:2.0%
베트남,국가,시장규모,알코올 음료,품목,시기:2023;시장규모:9.1조원
베트남,국가,시장규모,사이다 페리 및 쌀 와인,품목,시기:2023;시장규모:1.7조원
베트남,국가,HS CODE,1904.90,품목,수입액:52억 원(2022)
베트남,국가,HS CODE,1904.90,수입액,대한국 수입액:18억 원(2022);순위:1위
베트남,국가,수입액,대글로벌 수입액,금액,2018-2022;증가율:1.8%
베트남,국가,수입액,대한국 수입액,금액,2018-2022;증가율:3.1%
베트남,국가,시장점유율,맥주,점유율,약 80%
베트남,국가,주요 맥주브랜드,하이네켄,브랜드,시장점유율:높음
베트남,국가,쌀 와인,루오 까오,품목,특징:전통 술;알코올함량:40% 이상
베트남,국가,쌀 와인,약초 첨가 와인,품목,특징:약효효과;시장:전통시장
베트남,국가,막걸리,국순당,브랜드,시장진출:2024;특징:저도수,과일맛
베트남,국가,막걸리,서울장수,브랜드,시장진출:2024;특징:프리미엄,홍삼 함유
베트남,국가,유통채널,길거리 상점,유통유형,점유율:52.6%
베트남,국가,유통채널,소형 소매점,유통유형,점유율:12.6%
베트남,국가,유통채널,하이퍼마켓/슈퍼마켓,유통유형,점유율:11.6%
베트남,국가,유통채널,온라인,유통유형,점유율:9.5%
베트남,국가,유통채널,재래시장,유통유형,점유율:7.4%
베트남,국가,유통채널,기타,유통유형,점유율:13.9%
베트남,국가,수출입,한국,수출국,수입액:18억 원(2022);순위:1위
베트남,국가,수출입,호주,수입국,수입액:13억 원(2022)
베트남,국가,수출입,중국,수입국,수입액:11억 원(2022)
베트남,국가,수출입,태국,수입국,수입액:3억 원(2022)
베트남,국가,수입,수입식품,품목,검역대상:고기,어류,유제품,설탕,곡물,커피,과일,조미료,알코올,식초
베트남,국가,검역,검역대상품목,품목,대상:고기,어류,유제품,설탕,곡물,커피,과일,조미료,알코올,식초
베트남,국가,인증기관,베트남보건부,기관,인증목적:수입식품 안전관리
베트남,국가,인증,VFA,기관,적합성평가:필수
베트남,국가,인증,ISO 22000,기관,적용권장
베트남,국가,라벨링,베트남어,표기,필수
베트남,국가,라벨링,원산지,표기,필수
베트남,국가,라벨링,성분,표기,필수
베트남,국가,제조일자,표기,필수,형태:일-월-년
베트남,국가,유통기한,표기,필수,형태:기간 또는 일-월-년
베트남,국가,식품첨가물,황산칼슘,성분,사용기준:0.5% 이하
베트남,국가,식품첨가물,비타민 D,성분,사용기준:90 IU/100g
베트남,국가,유해물질,아플라톡신 B1,잔류허용기준,5μg/kg
베트남,국가,유해물질,아플라톡신 B1,잔류허용기준,5μg/kg
베트남,국가,유해물질,아플라톡신 B1,잔류허용기준,5μg/kg
베트남,국가,알레르겐,글루텐,표기,의무
베트남,국가,알레르겐,갑각류,표기,의무
베트남,국가,알레르겐,달걀,표기,의무
베트남,국가,알레르겐,어류,표기,의무
베트남,국가,알레르겐,땅콩,표기,의무
베트남,국가,알레르겐,우유,표기,의무
베트남,국가,알레르겐,견과류,표기,의무
베트남,국가,알레르겐,아황산염,표기,의무
베트남,국가,시장,쌀 와인,시기,2023
베트남,국가,시장,쌀 와인,시장규모,약 9.1조 원(2023)
베트남,국가,시장,쌀 와인,성장전망,연평균 3.6%
베트남,국가,시장,쌀 와인,수입액,대한국 18억 원(2022)
베트남,국가,시장,쌀 와인,시장점유율,약 70% (한국 수입 대비)
베트남,국가,시장,쌀 와인,특징,전통 술,발효 쌀,약초 첨가
베트남,국가,시장,쌀 와인,주요 브랜드,고덴 와인,반 빌리지 와인
베트남,국가,시장,쌀 와인,소비층,중장년층,노년층,특별 행사
베트남,국가,시장,쌀 와인,소비빈도,월 1-2회
베트남,국가,시장,쌀 와인,문화적 의미,행운,건강
베트남,국가,시장,쌀 와인,수출,베트남,한국,동남아
베트남,국가,시장,쌀 와인,수출기업,국순당,지평주조
베트남,국가,시장,쌀 와인,수출,대상:한국,베트남,동남아
베트남,국가,시장,쌀 와인,수출,특징:전통,저도수,과일맛
베트남,국가,시장,쌀 와인,수출,마케팅,축구이벤트,시음행사
베트남,국가,시장,쌀 와인,가격,한화 약 8,000원(병당)
베트남,국가,시장,쌀 와인,패키지,소형,대형,할인세트
베트남,국가,시장,쌀 와인,인기,한국산,전통,수제
베트남,국가,시장,쌀 와인,경쟁력,한국산,전통적,차별화
베트남,국가,시장,쌀 와인,홍보,한국문화,한국요리,온라인,오프라인
베트남,국가,시장,쌀 와인,타겟,젊은층,중장년층,가족,전통문화
베트남,국가,시장,쌀 와인,인증,ISO 22000, HACCP, HVNCLC, VietGap
베트남,국가,시장,쌀 와인,특허,발효기술,포장기술
베트남,국가,시장,쌀 와인,규제,검역,수입신고,원산지증명서
베트남,국가,시장,쌀 와인,라벨링,베트남어,성분,원산지,제조일자,유통기한
베트남,국가,시장,쌀 와인,유해물질,곰팡이독소,중금속,미생물,잔류허용기준
베트남,국가,시장,쌀 와인,알레르겐,글루텐,갑각류,달걀,어류,땅콩,우유,견과류,아황산염
