엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,생산,호두 아몬드 율무차,품목,원산지:베트남
베트남,국가,생산,호두 아몬드 흑미 율무차,품목,원산지:베트남
호두 아몬드 율무차,품목,포장,900g 제품,중량,중량:900g
호두 아몬드 율무차,품목,가격,245614동,가격,가격:245614동
호두 아몬드 율무차,품목,특징,여러 가지 견과류가 들어가 고소하고 맛이 좋은 웰빙 건강차,속성
호두 아몬드 흑미 율무차,품목,포장,900g 제품,중량,중량:900g
호두 아몬드 흑미 율무차,품목,가격,245614동,가격,가격:245614동
호두 아본드 울무차,품목,포장,900g 제품,중량,중량:900g
호두 아본드 울무차,품목,가격,245614동,가격,가격:245614동
응우 꼭 가오 릇 쑤언 안,품목,생산,베트남,원산지,원산지:베트남
응우 꼭 딘 즈엉,품목,생산,베트남,원산지,원산지:베트남
응우 꼭 가오 릇 쑤언 안,품목,가격,66000동,가격,가격:66000동
응우 꼭 딘 즈엉,품목,가격,91000동,가격,가격:91000동
응우 꼭 가오 릇 쑤언 안,품목,포장,파우치,포장,포장형태:파우치
응우 꼭 딘 즈엉,품목,포장,파우치,포장,포장형태:파우치
응우 꼭 가오 릇 쑤언 안,품목,맛,초콜릿,맛
응우 꼭 딘 즈엉,품목,맛,현미,맛
네슬레 베트남,기업,생산,네스비타,품목,원산지:베트남
네슬레 베트남,기업,생산,응우 꼭 딘 즈엉,품목,원산지:베트남
네슬레 베트남,기업,가격,74000동,가격,가격:74000동
네슬레 베트남,기업,포장,현지화,포장,포장형태:파우치
탄 안 푸드,기업,생산,비엣 다이,품목,원산지:베트남
탄 안 푸드,기업,생산,응우 꼭 쓰아 밥 비엣 다이,품목,원산지:베트남
탄 안 푸드,기업,가격,73000동,가격,가격:73000동
탄 안 푸드,기업,포장,현지화,포장,포장형태:파우치
Annam Gourmet,기업,생산,베트남 전통분말차,품목,원산지:베트남
Annam Gourmet,기업,가격,50000동~86000동,가격,가격범위:50000~86000동
Annam Gourmet,기업,포장,개별포장,포장,포장형태:개별포장
응우 꼭 가오 릇 쑤언 안,품목,중량,487.5g,중량,중량평균:487.5g
응우 꼭 가오 릇 쑤언 안,품목,가격,약 15,705동/100g,가격,평균가격:15705동/100g
응우 꼭 가오 릇 쑤언 안,품목,특징,고소하고 맛이 좋은 견과류와 곡물 조합,속성
응우 꼭 딘 즈엉,품목,중량,약 15,705동/100g,가격,평균가격:15705동/100g
응우 꼭 딘 즈엉,품목,특징,고소하고 맛이 좋은 견과류와 곡물 조합,속성
비알지 마트,기업,생산,한국산 전통분말차,품목,원산지,한국
비알지 마트,기업,가격,350000동,가격,가격
비알지 마트,기업,포장,개별포장,포장,포장형태:상자포장
Annam Gourmet,기업,생산,베트남 전통분말차,품목,원산지:베트남
Annam Gourmet,기업,가격,50000~86000동,가격,가격범위
Annam Gourmet,기업,포장,개별포장,포장,포장형태:개별포장
