엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장규모,일반의약품시장,시장,규모:1.1조원;시기:2023년
베트남,국가,시장규모,비타민및미네랄시장,시장,규모:1344억원;시기:2023년
베트남,국가,수입액,HS CODE 2106.90,품목,수입액:16000억원;시기:2022년
베트남,국가,수입액,대한국수입액,금액,수입액:749억원;시기:2022년
베트남,국가,시장성장률,일반의약품시장,성장률,연평균:4.6%;기간:2019-2023
베트남,국가,시장성장률,비타민및미네랄시장,성장률,연평균:7.4%;기간:2019-2023
베트남,국가,시장성장률,일반의약품시장,성장률,연평균:6.6%;기간:2024-2028
베트남,국가,시장성장률,비타민및미네랄시장,성장률,연평균:6.0%;기간:2024-2028
베트남,국가,유통채널,약국,유통채널,점유율:31.2%;2022년
베트남,국가,유통채널,건강식품전문점,유통채널,점유율:29.1%;2022년
베트남,국가,유통채널,온라인,유통채널,점유율:19.0%;2022년
베트남,국가,유통채널,슈퍼마켓,유통채널,점유율:17.5%;2022년
베트남,국가,유통채널,기타,유통채널,점유율:3.2%;2022년
베트남,국가,유통채널,온라인,유통채널,점유율:58.3%;한국
베트남,국가,유통채널,건강식품전문점,유통채널,점유율:17.4%;한국
베트남,국가,유통채널,약국,유통채널,점유율:16.7%;한국
베트남,국가,유통채널,슈퍼마켓,유통채널,점유율:4.5%;한국
베트남,국가,유통채널,기타,유통채널,점유율:3.0%;한국
베트남,국가,수입액,대한국수입액,금액,수입액:54428억 원;시기:2022년
베트남,국가,수입액,대글로벌수입액,금액,수입액:160000억 원;시기:2022년
베트남,국가,시장,홍삼콜라겐젤리,품목,형태:스틱형 젤리;주요성분:홍삼농축액;포장:종이상자;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,성분:녹용;성분:당귀;포장:상자,팩;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:50ml;중량:50ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:25g;중량:25g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:70ml;중량:70ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:100ml;중량:100ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:50g;중량:50g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:25g;중량:25g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:70ml;중량:70ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:100ml;중량:100ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:50g;중량:50g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:25g;중량:25g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:70ml;중량:70ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:100ml;중량:100ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:50g;중량:50g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:25g;중량:25g;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:70ml;중량:70ml;시기:2024년
베트남,국가,시장,홍삼콜라겐젤리,품목,포장:100ml;중량:100ml;시기:2024년
