엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
사우디아라비아,국가,시장규모,신선과일,품목,시장규모:6.3조원;시기:2023
사우디아라비아,국가,시장규모,베리및포도,품목,시장규모:1.06조원;시기:2023
사우디아라비아,국가,수입액,HS CODE 0806.10,품목,수입액:1399억 원;시기:2022
사우디아라비아,국가,포도생산량,포도,품목,생산량:115000톤;시기:2023
사우디아라비아,국가,포도원산지,이집트,국가,원산지
사우디아라비아,국가,포도원산지,튀르키예,국가,원산지
사우디아라비아,국가,포도원산지,인도,국가,원산지
사우디아라비아,국가,포도가격대,포도,품목,가격대:5.5리얄~20리얄;단위:500g~1kg
사우디아라비아,국가,포도운송시간,포도,품목,운송시간:3~5일;시기:2024
사우디아라비아,국가,포도유통채널,슈퍼마켓,유통채널,점유율:98.9%;시기:2023
사우디아라비아,국가,포도유통채널,온라인,유통채널,점유율:1.1%;시기:2023
사우디아라비아,국가,포도포장단위,포도,품목,포장단위:450g;적합성:적절
사우디아라비아,국가,포도가격,포도,품목,가격대:약5.5리얄~20리얄;단위:500g~1kg
사우디아라비아,국가,포도평균가격,포도,품목,가격:8리얄~20리얄;단위:1kg
사우디아라비아,국가,포도운송시간,포도,품목,운송시간:약1주일
사우디아라비아,국가,포도수입경로,대형슈퍼마켓,유통경로,이유:신선도유지;효율적공급
사우디아라비아,국가,포도홍보경로,슈퍼마켓,홍보경로,방법:할인행사;패키지강조
사우디아라비아,국가,포도시장성장률,포도,품목,연평균성장률:3.2%;시기:2023
사우디아라비아,국가,포도시장전망,포도,품목,성장률:3.5%;시기:2028
사우디아라비아,국가,샤인머스캣수입액,샤인머스캣,품목,수입액:약69리얄;시기:2024
사우디아라비아,국가,샤인머스캣가격대,샤인머스캣,품목,가격:약5.5리얄~20리얄;단위:500g~1kg
사우디아라비아,국가,샤인머스캣운송시간,샤인머스캣,품목,운송시간:약1주일
사우디아라비아,국가,샤인머스캣유통채널,슈퍼마켓,유통채널,점유율:98.9%;시기:2023
사우디아라비아,국가,샤인머스캣홍보경로,슈퍼마켓,홍보경로,방법:품질강조;지역별타겟팅
한국,국가,시장점유율,샤인머스캣,품목,수입액:1104만 원;시기:2022
한국,국가,포도수입경로,대형유통업체,유통경로,이유:신선도유지;효율적공급
한국,국가,포도가격대,포도,품목,가격:약8리얄~20리얄;단위:500g~1kg
한국,국가,포도운송시간,포도,품목,운송시간:약3~5일
한국,국가,포도시장성장률,포도,품목,연평균성장률:약10.7%;시기:2022
한국,국가,포도시장전망,포도,품목,성장률:약3%;시기:2028
한국,국가,포도원산지,스페인,국가,원산지
한국,국가,포도원산지,이집트,국가,원산지
한국,국가,포도가격대,포도,품목,가격:약8리얄~20리얄;단위:500g~1kg
한국,국가,포도평균가격,포도,품목,가격:약8리얄~20리얄;단위:500g~1kg
한국,국가,포도운송시간,포도,품목,운송시간:약1주일
한국,국가,포도유통채널,대형슈퍼마켓,유통채널,이유:신선도유지;효율적공급
한국,국가,포도홍보경로,슈퍼마켓,홍보경로,방법:품질강조;지역별타겟팅
