엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
스페인,국가,시장규모,수산가공식품,품목,시장규모:약4.4조원;시기:2023
스페인,국가,수입규모,HS CODE 2008.99,품목,수입액:1207억 원;시기:2023
스페인,국가,수입단가,HS CODE 2008.99,품목,수입단가:228만 원/톤;시기:2023
스페인,국가,수입액,스페인對한국,국가,수입액:10억 원;시기:2023
한국,국가,수출규모,한국 조미김,품목,수출량:46톤;수출액:16억 원;시기:2023
한국,국가,김생산규모,김,품목,생산량:55만422톤;시기:2022
한국,국가,생산감소율,김,품목,감소율:0.8%;기간:2018-2022
스페인,국가,수입단가,HS CODE 2008.99,품목,수입단가:3754만 원/톤;시기:2023
스페인,국가,HS CODE,2008.99,품목,분류:조제·보존처리 과실·견과류 및 식물부분
한국,기업,수출업체,NISHIN TRADING INC.,기업명,수입처
스페인,기업,유통채널,까르푸,기업구분,하이퍼마켓/슈퍼마켓
스페인,기업,유통채널,메르카도나,기업구분,온라인 쇼핑몰
스페인,기업,유통채널,아마존 스페인,기업구분,온라인 쇼핑몰
스페인,기업,유통채널,에코아시아샵,기업구분,아시안/한인마트
스페인,기업,유통채널,올레마트,기업구분,아시안/한인마트
스페인,기업,유통채널,오리엔탈마켓,기업구분,아시안/한인마트
스페인,기업,유통채널,마르티네스데켈,기업구분,아시안/한인마트
스페인,기업,유통채널,피칸티노,기업구분,온라인 종합쇼핑몰
스페인,기업,유통채널,아마존 스페인,기업구분,온라인 쇼핑몰
스페인,기업,유통채널,에코아시아샵,기업구분,아시안/한인마트
스페인,기업,유통채널,올레마트,기업구분,아시안/한인마트
스페인,기업,유통채널,오리엔탈마켓,기업구분,아시안/한인마트
스페인,기업,유통채널,마르티네스데켈,기업구분,아시안/한인마트
스페인,기업,유통채널,피칸티노,기업구분,온라인 종합쇼핑몰
스페인,기관,수출검역,국립수산물품질관리원,기관명,검역절차 및 검사
스페인,기관,EORI번호,스페인 국세청,기관명,수출입 통관 식별번호
스페인,기관,AEO,스페인 세관,기관명,수출입 안전관리 우수공인업체
스페인,기관,포장재 규제,유럽연합,기관명,포장재 저감 및 재활용 정책
스페인,기관,라벨링,유럽연합,기관명,포장 전면 영양 라벨 표기
스페인,기관,수출통관,관세청,기관명,수출 신고 및 통관 절차
스페인,기관,수입검사,국경통제소,기관명,수입 검역 및 검사
스페인,기관,포장재세,스페인 정부,기관명,포장재 재활용 및 세금 부과
스페인,기관,김 HS CODE,2008.99,품목,관세율:0%;수입단가:228만 원/톤;수입액:1207억 원
스페인,기관,김 인증,HACCP,기관명,식품 안전 인증
스페인,기관,김 인증,FSSC 22000,기관명,식품 안전 인증
스페인,기관,김 인증,ISO 22000,기관명,식품 안전 인증
스페인,기관,김 인증,글루텐 프리,기관명,글루텐 프리 인증
스페인,기관,김 인증,V-Label,기관명,비건 식품 인증
