엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
싱가포르,국가,시장규모,채소,품목,시기:2024;시장규모:1.53조원
싱가포르,국가,시장규모,가공 및 냉동 채소,품목,시기:2024;시장규모:3476억원
싱가포르,국가,수입규모,버섹스낵,품목,시기:2023;수입액:80억원
싱가포르,국가,시장성장률,채소,품목,시기:2019-2023;CAGR:0.9%
싱가포르,국가,시장성장률,가공 및 냉동 채소,품목,시기:2019-2023;CAGR:0.8%
싱가포르,국가,시장성장률,채소,품목,시기:2024-2028;CAGR:3.9%
싱가포르,국가,시장성장률,가공 및 냉동 채소,품목,시기:2024-2028;CAGR:3.7%
싱가포르,국가,수입액,HS CODE 2003.90,품목,시기:2023;수입액:80억 원
싱가포르,국가,수입액,HS CODE 2003.90,품목,시기:2019-2023;수입액증가율:7.3%
HS CODE 2003.90,품목,수입액,싱가포르,국가,시기:2023;수입액:80억 원
HS CODE 2003.90,품목,한국 수입액,싱가포르,국가,시기:2023;수입액:138만 원
디제이앤에이,브랜드,생산,버섯 스낵,품목,시기:2024;특징:호주 브랜드, 시즈닝 첨가
남관,브랜드,생산,버섯 스낵,품목,시기:2024
친퐁,브랜드,생산,버섯 스낵,품목,시기:2024
베스토어,브랜드,생산,버섯 스낵,품목,시기:2024
헤리티지 팜,브랜드,생산,혼합 과일 및 채소 칩,품목,시기:2024;원산지:미국, 태국 등
궈슈추이,브랜드,생산,표고버섯 칩,품목,시기:2024;원산지:원난성
장기수할아버지,브랜드,생산,말린 버섯,품목,시기:2024;원산지:중국
푸창,브랜드,생산,말린 버섯,품목,시기:2024;원산지:중국
지고드,브랜드,생산,버섯 스낵,품목,시기:2024;특징:한국산, 건강 강조
장기수할아버지,브랜드,생산,버섯 스낵,품목,시기:2024
내추럴브랜드,브랜드,생산,버섯 스낵,품목,시기:2024
티웽구전,브랜드,생산,버섯 스낵,품목,시기:2024;중량:50g,250g
난궈푸드,브랜드,생산,버섯 스낵,품목,시기:2024
내추럴브랜드,브랜드,생산,버섯 스낵,품목,시기:2024
HERITAGE Farm,브랜드,생산,혼합 과일 및 채소 칩,품목,시기:2024;원산지:미국, 태국 등
이세탄 싱가포르,기업,유통,버섯 스낵,품목,시기:2024;유통채널:백화점, 온라인, 슈퍼마켓
페어프라이스,기업,유통,버섯 스낵,품목,시기:2024;유통채널:슈퍼마켓
콜드스토리지,기업,유통,버섯 스낵,품목,시기:2024;유통채널:슈퍼마켓
돈돈돈키,기업,유통,버섯 스낵,품목,시기:2024;유통채널:아시안마트
샤인코리아,기업,유통,버섯 스낵,품목,시기:2024;유통채널:아시안마트
리틀 팜스,기업,유통,버섯 스낵,품목,시기:2024;유통채널:슈퍼마켓
이세탄 싱가포르,기업,입점,버섯 스낵,품목,시기:2024;절차:홈페이지,이메일
페어프라이스,기업,입점,버섯 스낵,품목,시기:2024;절차:홈페이지
콜드스토리지,기업,입점,버섯 스낵,품목,시기:2024;절차:이메일,전화
돈돈돈키,기업,입점,버섯 스낵,품목,시기:2024;절차:홈페이지,전화
샤인코리아,기업,입점,버섯 스낵,품목,시기:2024;절차:홈페이지,이메일
싱가포르 식품청,기관,규제,식품수입,품목,시기:2024;내용:사전등록,인증
싱가포르 식품청,기관,규제,유해물질,품목,시기:2024;기준:잔류허용기준
싱가포르 식품청,기관,규제,라벨링,품목,시기:2024;내용:영어표기,성분표기
싱가포르 식품청,기관,규제,알레르겐,품목,시기:2024;내용:성분표기 의무
싱가포르,국가,시장트렌드,버섯 스낵,품목,시기:2024;특징:건강, 천연, 현지화
싱가포르,국가,소비자선호,버섯 스낵,품목,시기:2024;특징:건강, 맛, 포장
싱가포르,국가,경쟁제품,버섯 스낵,품목,시기:2024;경쟁:포레스트리, 우 마라
싱가포르,국가,마케팅전략,버섯 스낵,품목,시기:2024;전략:소셜미디어, 인플루언서, 샘플
싱가포르,국가,소비자그룹,버섯 스낵,품목,시기:2024;특징:25-50세, 건강중시, 채식
싱가포르,국가,시장진출,버섯 스낵,품목,시기:2024;필요사항:맛현지화, 포장, 브랜드
