엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
싱가포르,국가,시장규모,수산가공식품,품목,시장규모:3275억 원;시기:2023년
한국,국가,수출,붉은 대게살,품목,수출규모:609억 원;중량:3150톤;시기:2023년
한국,국가,수입,붉은 대게살,품목,수입액:2억 원;중량:2톤;시기:2023년
싱가포르,국가,수입,붉은 대게살,품목,수입액:135억 원;중량:11342천 달러;시기:2023년
싱가포르,국가,수입단가,붉은 대게살,품목,수입단가:2270만 원/톤;시기:2023년
한국,기업,수출,붉은 대게살,품목,수출액:609억 원;중량:3150톤;시기:2023년
싱가포르,국가,유통채널,붉은 대게살,품목,유통채널:하이퍼마켓/슈퍼마켓 73.7%;온라인;편의점 3.2%
페어프라이스,기업,운영,수산물 유통채널,유통채널,유통채널:페어프라이스;홈페이지:www.fairprice.com.sg;규모:매출액 44억 1700만 싱가포르달러
콜드스토리지,기업,운영,수산물 유통채널,유통채널,홈페이지:coldstorage.com.sg;규모:264억 달러
아마존 싱가포르,기업,운영,수산물 유통채널,유통채널,홈페이지:www.amazon.sg;규모:매출액 2억 1030만 달러
쇼피 싱가포르,기업,운영,수산물 유통채널,유통채널,홈페이지:shopee.sg;규모:매출액 3920만 달러
돈돈돈키,기업,운영,수산물 유통채널,유통채널,홈페이지:www.dondondonki.com/sg;규모:매장 16개
메이디야,기업,운영,수산물 유통채널,유통채널,홈페이지:www.meidi-ya.com.sg;규모:매장 2개
켈리지에씨푸드,기업,운영,수산물 유통채널,유통채널,홈페이지:kellyjieseafood.getz.co
싱가포르,국가,수입,붉은 대게살,품목,HS CODE:1605.10-1091;관세:기본세율
싱가포르,국가,수입,붉은 대게살,품목,HS CODE:1605.10-13;관세:기본세율
싱가포르,국가,수입,붉은 대게살,품목,HS CODE:1605.10;관세:기본세율
싱가포르,국가,인증,붉은 대게살,품목,인증: HACCP,ISO22000,FSSC22000,MSC,ACS,MUIS
싱가포르,국가,라벨링,붉은 대게살,품목,라벨링:영어표기;원산지:캐나다;유통기한:일/월/년
싱가포르,국가,검역,붉은 대게살,품목,검역:수입검사;중금속허용기준:0.5~2ppm
싱가포르,국가,수입신고,붉은 대게살,품목,수입신고:수입업체 등록;전자신고:TradeNet
싱가포르,국가,통관,붉은 대게살,품목,통관:수입허가;세관신고:전자신고;관세:FTA혜택
싱가포르,국가,검사,붉은 대게살,품목,검사:수입검사;서류:수입신고서,건강증명서;검사대상:중금속,세균
싱가포르,국가,수출,붉은 대게살,품목,수출규제:수출신고;검역:수출검사; HS CODE:1605.10
싱가포르,국가,수출,붉은 대게살,품목,수출통관:수출신고;서류:상업송장,포장명세서;검역:수출검사
싱가포르,국가,수출,붉은 대게살,품목,수출검역:서류검사,임상검사,정밀검사;검역대상:전염병,중금속
싱가포르,국가,수출,붉은 대게살,품목,수출검사:신청서,검사서류;검역:수출검사;검역대상:수산물
싱가포르,국가,수출,붉은 대게살,품목,수출검사:검역증명서;수출신고서;포장명세서;검역대상:수산물
싱가포르,국가,수입,붉은 대게살,품목,수입허가:수입업체 등록;HS CODE:1605.10;관세:FTA혜택
싱가포르,국가,수입,붉은 대게살,품목,수입검사:서류검사,임상검사,정밀검사;검역대상:수산물,전염병
싱가포르,국가,라벨링,붉은 대게살,품목,라벨링:제품명,성분,중량,원산지,유통기한,수입업체 정보
싱가포르,국가,중금속기준,붉은 대게살,품목,수은:1ppm;비소:2ppm;카드뮴:1ppm
싱가포르,국가,미생물기준,붉은 대게살,품목,장염비브리오균,대장균 등
싱가포르,국가,수입,붉은 대게살,품목,수입액:135억 원;중량:11342천 달러;시기:2023년
한국,국가,수출,붉은 대게살,품목,수출액:609억 원;중량:3150톤;시기:2023년
한국,국가,수출,붉은 대게살,품목,수출규모:중량 3150톤;금액 44039천 달러
한국,국가,수출,붉은 대게살,품목,수출:중량 2톤;금액 4272만 원;시기:2023년
한국,국가,수출,붉은 대게살,품목,수출:중량 0톤;금액 미집계;시기:2023년
싱가포르,국가,수입,붉은 대게살,품목,HS CODE:1605.10;관세:기본세율
싱가포르,국가,수입,붉은 대게살,품목,HS CODE:1605.10-1091;관세:기본세율
싱가포르,국가,수입,붉은 대게살,품목,HS CODE:1605.10;관세:기본세율
