엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
싱가포르,국가,수입규모,인삼액상차,품목,수입규모:2024(F):1.8조원;2025(F):1.9조원;2026(F):2.0조원;2027(F):2.0조원;2028(F):2.1조원;시기:2024년 3월
싱가포르,국가,시장규모,즉석 차,품목,시장규모:2024년:1.7조원;2025년:2.0조원;2026년:2.2조원;2027년:2.3조원;2028년:2.4조원;시기:2023년
싱가포르,국가,시장규모,비타민&미네랄,품목,시장규모:2024년:2826억 원;2025년:3130억 원;2026년:3282억 원;2027년:3431억 원;2028년:3580억 원;시기:2023년
싱가포르,국가,수입규모,HS CODE 2106.90,품목,수입규모:2023년:1156억 원;2022년:1038억 원;2019년:8430억 원;시기:2023년
싱가포르,국가,유통채널,약국/드럭스토어,유통채널,점유율:32.1%;시기:2022년
싱가포르,국가,유통채널,온라인,유통채널,점유율:30.3%;시기:2022년
싱가포르,국가,유통채널,전문점,유통채널,점유율:20.6%;시기:2022년
싱가포르,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:14.5%;시기:2022년
싱가포르,국가,유통채널,슈퍼마켓,유통채널,유통채널명:콜드스토리지;유통채널유형:하이퍼마켓/슈퍼마켓;시기:2023년
싱가포르,국가,유통채널,백화점,유통채널,유통채널명:이세탄 싱가포르;유통채널유형:백화점;시기:2023년
싱가포르,국가,유통채널,슈퍼마켓,유통채널,유통채널명:페어프라이스;유통채널유형:하이퍼마켓/슈퍼마켓;시기:2023년
싱가포르,국가,유통채널,약국/드럭스토어,유통채널,유통채널명:가디언;유통채널유형:H&B(드럭스토어);시기:2023년
싱가포르,국가,유통채널,온라인,유통채널,유통채널명:쇼피 싱가포르;유통채널유형:온라인;시기:2023년
싱가포르,국가,포장형태,티백,포장형태,포장형태명:티백;특징:휴대간편;시기:2024년
싱가포르,국가,포장형태,개별포장스틱,포장형태,포장형태명:스틱 파우더;특징:휴대간편;시기:2024년
싱가포르,국가,원료,인삼,품목,원료명:캐나다 인삼;원산지:캐나다;시기:2024년
싱가포르,국가,인증,HACCP,인증,인증명:HACCP;목적:식품안전;기관:한국식품안전관리인증원;시기:수출시
싱가포르,국가,인증,FSSC 22000,인증,인증명:FSSC 22000;목적:식품안전;기관:글로벌공통;시기:수출시
싱가포르,국가,인증,ISO 22000,인증,인증명:ISO 22000;목적:식품안전;기관:정부 또는 국제기관;시기:수출시
싱가포르,국가,인증,MUIS 할랄,인증,인증명:MUIS 할랄;목적:종교적문화적;기관:싱가포르인증;시기:수출시
싱가포르,국가,라벨표시,식품명,라벨,라벨명:인삼 액상차;표기:영어 및 국문;시기:2024년
싱가포르,국가,라벨표시,원재료명,라벨,원재료명:인삼;표기:중량순;시기:2024년
싱가포르,국가,라벨표시,유통기한,라벨,유통기한:18/09/2026;표기:영어 및 국문;시기:2024년
싱가포르,국가,라벨표시,성분목록,라벨,성분목록:중량순;특징:성분명 명확 표기;시기:2024년
싱가포르,국가,라벨표시,알레르기성분,라벨,알레르기성분:포함시 'contain';시기:2024년
싱가포르,국가,라벨표시,유통업체,라벨,유통업체명:Huiji;유통업체주소:싱가포르;시기:2024년
싱가포르,국가,라벨표시,수입업체,라벨,수입업체명:Huiji;시기:2024년
싱가포르,국가,포장재,알루미늄호일,포장재,포장재명:알루미늄호일;특징:방수,밀봉;시기:2024년
싱가포르,국가,포장재,개별포장,포장재,포장재명:PP,종이;특징:휴대용;시기:2024년
싱가포르,국가,시장트렌드,프리미엄 차,시장,특징:고품질,소량생산,건강중심;시기:2023년
싱가포르,국가,기념일선물,인삼차세트,제품,제품명:인삼 애프터눈 티 세트;특징:한정판,효능홍보;시기:2024년
싱가포르,국가,캠페인,홍삼인식제고,관계,캠페인명:파워 업 프롬 인사이드 아웃;목적:브랜드 인지도 향상;기관:정관장;시기:2024년
싱가포르,국가,캠페인,홍삼효능홍보,관계,캠페인명:파워 업 프롬 인사이드 아웃;목적:홍삼 효능 알림;기관:정관장;시기:2024년
싱가포르,국가,유통채널,백화점,유통채널,매장명:다카시야마;유통채널유형:백화점;시기:2024년
싱가포르,국가,유통채널,온라인몰,유통채널,매장명:쇼피;유통채널유형:온라인;시기:2023년
싱가포르,국가,유통채널,슈퍼마켓,유통채널,매장명:페어프라이스;유통채널유형:슈퍼마켓;시기:2023년
싱가포르,국가,유통채널,약국/드럭스토어,유통채널,매장명:가디언;유통채널유형:약국/드럭스토어;시기:2023년
