엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
영국,국가,시장규모,수산가공식품,품목,시장규모:2.50조원;시기:2023년
한국,국가,생산규모,김,품목,생산규모:550422톤;시기:2022년
영국,국가,수입액,김,품목,수입액:127억원;시기:2023년;수입단가/톤:3693만 원
한국,국가,수출규모,김,품목,수출규모:18599톤;금액:6873억 원;시기:2023년 12월
한국,국가,생산규모,김,품목,생산규모:550422톤;시기:2022년
한국,국가,연평균성장률,김,품목,성장률:-0.8%;기간:2018-2022년
영국,국가,수입규모,김,품목,수입액:2545억 원;시기:2019-2023년;연평균성장률:8.4%
영국,국가,수입규모,김,품목,수입액:127억 원;시기:2023년;연평균성장률:9.3%
한국,국가,수출규모,김,품목,수출규모:18599톤;금액:6873억 원;시기:2023년
한국,국가,수출단가/톤,김,품목,수출단가:3693만 원;시기:2023년
영국,국가,수입단가/톤,김,품목,수입단가:26786달러;시기:2023년
영국,국가,수입량,김,품목,수입량:345톤;시기:2023년
한국,국가,수출량,김,품목,수출량:18599톤;시기:2023년
한국,국가,수출금액,김,품목,수출금액:6873억 원;시기:2023년
영국,국가,수입규모,김,품목,수입액:2545억 원;시기:2019-2023년
영국,국가,수입단가/톤,김,품목,수입단가:375만 원;시기:2023년
영국,국가,수입량,김,품목,수입량:345톤;시기:2023년
한국,국가,수출규모,김,품목,수출규모:18599톤;금액:6873억 원;시기:2023년
한국,국가,HS CODE,김,품목,HS CODE:2008.99
영국,국가,HS CODE,김,품목,HS CODE:2008.99-9990
한국,국가,HS CODE,김,품목,HS CODE:2008.99-5010
영국,국가,수입단가/톤,김,품목,수입단가:375만 원;시기:2023년
한국,국가,수출단가/톤,김,품목,수출단가:3693만 원;시기:2023년
영국,국가,수입량,김,품목,수입량:345톤;시기:2023년
한국,국가,수출량,김,품목,수출량:18599톤;시기:2023년
영국,국가,유통채널,김,품목,유통채널:하이퍼마켓/슈퍼마켓;온라인;아시안마트;한인마트;아마존;이베이;스타리마트;아시아나 하이퍼마켓;뉴웨이브;더프레쉬피쉬샵
영국,국가,유통점,테스코,기업,유통점:3712개;매출액:657억6200만파운드;직원수:30936명;설립연도:1919년
영국,국가,유통점,아스다,기업,유통점:약1016개;매출액:219억파운드;설립연도:1949년
영국,국가,유통점,아마존,기업,유통점:홈페이지:www.amazon.co.uk;매출액:335억9100만달러;설립연도:1994년
영국,국가,유통점,이베이,기업,유통점:www.ebay.co.uk;매출액:16억900만달러;설립연도:1995년
영국,국가,유통점,스타리마트,기업,유통점:3개 매장;설립연도:2014년
영국,국가,유통점,아시아나 하이퍼마켓,기업,유통점:1개 매장;설립연도:정보없음
영국,국가,유통채널,오프라인;온라인,유통채널,유통채널:아시안마트;한인마트;대형마트;온라인
영국,국가,유통채널,더프레쉬피쉬샵,기업,유통채널:온라인;오프라인
영국,국가,유통채널,오리엔탈 마트,기업,유통채널:온라인;오프라인
영국,국가,유통채널,스타리마트,기업,유통채널:오프라인;온라인
영국,국가,유통채널,이베이,기업,유통채널:온라인
영국,국가,유통채널,아마존,기업,유통채널:온라인
영국,국가,유통채널,테스코,기업,유통채널:오프라인
영국,국가,유통채널,아스다,기업,유통채널:오프라인
영국,국가,유통채널,스타리마트,기업,유통채널:오프라인
영국,국가,유통채널,더프레쉬피쉬샵,기업,유통채널:온라인
영국,국가,유통채널,오리엔탈 마트,기업,유통채널:온라인
영국,국가,유통채널,이베이,기업,유통채널:온라인
영국,국가,유통채널,아마존,기업,유통채널:온라인
영국,국가,유통채널,스타리마트,기업,유통채널:오프라인;온라인
영국,국가,유통채널,아시아나 하이퍼마켓,기업,유통채널:오프라인
영국,국가,유통채널,오리엔탈 마트,기업,유통채널:온라인;오프라인
영국,국가,유통채널,더프레쉬피쉬샵,기업,유통채널:온라인;오프라인
영국,국가,유통채널,뉴웨이브,기업,유통채널:온라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
영국,국가,유통채널,수산물전문점,기업,유통채널:오프라인
