엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
영국,국가,시장규모,채소시장,시장,시기:2023년;규모:28900
영국,국가,시장규모,가공및냉동채소시장,시장,시기:2023년;규모:6600
영국,국가,수입액,HS CODE 2005.99 수입액,시장,시기:2023;규모:3076억
영국,국가,수입액,영국 對한국 수입액,시장,시기:2023;규모:89억
영국,국가,성장률,채소시장 CAGR,시장,시기:2019-2023;값:7.6%
영국,국가,성장률,가공및냉동채소시장 CAGR,시장,시기:2019-2023;값:9.0%
영국,국가,성장률,HS CODE 2005.99 수입액 CAGR,시장,시기:2019-2023;값:16.3%
영국,국가,성장률,HS CODE 2005.99 수입액 한국비중증가율,시장,시기:2019-2023;값:38.7%
영국,국가,김치시장,수요증가,시장,시기:2022-2024;설명:한국 요리 인기도 및 건강 트렌드
영국,국가,김치제품,인기브랜드,제품,브랜드:러빙푸드;샘표;아줌마리퍼블릭;미스터김치;유타카;더컬처드푸드컴퍼니
영국,국가,김치제품,가격,제품,중량:475g;가격:9.95파운드;원산지:한국
영국,국가,김치제품,포장형태,제품,포장:병;파우치;캔;상자
영국,국가,김치제품,용량,제품,용량:100g;200g;300g;475g;500g
영국,국가,김치제품,인기특징,제품,특징:자연발효;비건;살균되지 않음;유기농;전통
영국,국가,유통채널,상위유통채널,유통채널,채널:하이퍼마켓/슈퍼마켓;온라인;할인점;편의점;드럭스토어;유기농매장
영국,국가,유통채널,점유율,유통채널,채널:하이퍼마켓/슈퍼마켓;점유율:45.3%
영국,국가,수입업체,주요수입업체,업체,이름:유타카런던;오세요;코리아푸드;에이치마트
영국,국가,수입업체,수입절차,업체,절차:통관;서류준비;포장표기;인증확인
영국,국가,인증,김치관련인증,인증,종류:HACCP;FSSC 22000;ISO 22000;IFS;BRCGS
영국,국가,라벨링,필수표기사항,라벨,내용:제품명;유통기한;영양성분;알레르기성분;중량;성분표기
영국,국가,수출입규제,관세,규제,내용:FTA적용;원산지증명서;통관절차
영국,국가,수출입,EORI번호,번호,내용:GB + SIRET;신청기간:3-5영업일
영국,국가,인증기관,식품안전인증기관,기관,이름:한국식품안전관리인증원;FSSC;ISO;IFS;BRCGS
영국,국가,포장라벨,영양라벨,라벨,내용:신호등(트래픽라이트)표시;영양성분;알레르기
영국,국가,김치시장,트렌드,시장,내용:한국요리 인기;건강식;현지화제품;한국문화수요
영국,국가,유통채널,점유율,유통채널,채널:하이퍼마켓/슈퍼마켓;기타;온라인;할인점
영국,국가,수입업체,주요수입업체,업체,이름:오리엔탈마트;코리아푸드;에이치마트
영국,국가,시장성장,전망,시장,내용:5년간 연평균 5% 성장 예상;2028년 37조원 규모 예상
