엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
고객사,기업,제조,제품,품목,제품명:고급 차 선물세트;가격:23.34파운드;중량:150g;포장형태:종이 상자/유리병;특징:간편함|좋은 맛과 향|아름다운 비주얼|무설탕|무카페인
해롯,기업,운영,제품,품목,제품명:해롯 엑스 니힐로 블렌드;중량:50g;가격:80파운드;원산지:중국;포장형태:종이 상자/유리병;인증:열대우림동맹
해롯,기업,운영,제품,품목,제품명:해롯 프루트 인퓨전 티 레드 베리스;중량:50g;가격:10파운드;원산지:다국가;포장형태:종이 상자/유리병;인증:열대우림동맹
해롯,기업,운영,제품,품목,제품명:해롯 아카이브 티;중량:225g;가격:15파운드;원산지:중국;포장형태:틴 케이스;인증:열대우림동맹
해롯,기업,운영,제품,품목,제품명:해롯 트로피컬 프루트;중량:125g;가격:15파운드;원산지:다국가;포장형태:틴 케이스;인증:열대우림동맹
티피그스,기업,제조,제품,품목,제품명:티피그스 캐모마일 플라워스;중량:22.5g;가격:4.75파운드;원산지:유럽연합;포장형태:종이 상자/플라스틱 백;인증:열대우림동맹
티피그스,기업,제조,제품,품목,제품명:티피그스 슈퍼 프루트;중량:22.5g;가격:4.75파운드;원산지:유럽연합;포장형태:종이 상자/플라스틱 백;인증:열대우림동맹
푸카,기업,제조,제품,품목,제품명:푸카 쓰리 캐모마일;중량:30g;가격:5.25파운드;원산지:유럽연합;포장형태:종이 상자;인증:유기농
푸카,기업,제조,제품,품목,제품명:푸카 쓰리 캐모마일;중량:30g;가격:5.25파운드;원산지:유럽연합;포장형태:종이 상자;인증:유기농
셀프리지스,기업,운영,제품,품목,제품명:셀프리지스 꽃차;가격:높음;포장형태:고급 포장;특징:무설탕|무카페인|고품질
리젠시 햄퍼스,기업,운영,제품,품목,제품명:리젠시 꽃차;가격:높음;포장형태:고급 포장;특징:무설탕|무카페인|고품질
