엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,시장규모,4만6984톤,수산물 생산량,시기:2022
인도네시아,국가,수입규모,273억원,시기:2023
인도네시아,국가,수입단가/톤,1532만원,시기:2023
인도네시아,국가,수입단가/톤,17480,달러/톤,시기:2020
인도네시아,국가,수입단가/톤,11099,달러/톤,시기:2023
인도네시아,국가,수입액,225억원,시기:2023
인도네시아,국가,수입액,16330억 원,시기:2023
인도네시아,국가,수입액,225억 원,관계:대한국,시기:2023
인도네시아,국가,수입액,273억 원,관계:대글로벌,시기:2023
인도네시아,국가,생산규모,46984톤,시기:2022
한국,국가,생산규모,500톤,시기:2022
한국,국가,수출규모,2140톤,시기:2023
한국,국가,수출금액,351억 원,시기:2023
한국,국가,HS CODE,1212.21,품목코드
인도네시아,국가,HS CODE,1212.21,품목코드
인도네시아,국가,수입단가/톤,1532만 원,시기:2023
한국,국가,수출규모,17톤,시기:2023
한국,국가,수출금액,4억 원,시기:2023
인도네시아,국가,수입단가/톤,2377만 원,시기:2023
인도네시아,국가,수입액,225억 원,시기:2023
인도네시아,국가,수입액,16330억 원,시기:2023
인도네시아,국가,수입액,225억 원,관계:대한국,시기:2023
인도네시아,국가,수입액,273억 원,관계:대글로벌,시기:2023
인도네시아,국가,수입액,225억 원,관계:대한국,시기:2023
인도네시아,국가,수입액,273억 원,관계:대글로벌,시기:2023
인도네시아,국가,수입단가/톤,1532만 원,시기:2023
인도네시아,국가,수입단가/톤,17480,달러/톤,시기:2020
인도네시아,국가,수입단가/톤,11099,달러/톤,시기:2023
한국,국가,수출규모,17톤,시기:2023
한국,국가,수출금액,4억 원,시기:2023
한국,국가,HS CODE,1212.21,품목코드
인도네시아,국가,HS CODE,1212.21,품목코드
인도네시아,국가,수입단가/톤,1532만 원,시기:2023
인도네시아,국가,수입단가/톤,17480,달러/톤,시기:2020
인도네시아,국가,수입단가/톤,11099,달러/톤,시기:2023
인도네시아,국가,수입액,225억 원,시기:2023
인도네시아,국가,수입액,16330억 원,시기:2023
인도네시아,국가,수입액,225억 원,관계:대한국,시기:2023
인도네시아,국가,수입액,273억 원,관계:대글로벌,시기:2023
인도네시아,국가,수입단가/톤,1532만 원,시기:2023
인도네시아,국가,수입단가/톤,17480,달러/톤,시기:2020
인도네시아,국가,수입단가/톤,11099,달러/톤,시기:2023
