엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,수출,염장다시마,품목,수출량:794;금액:90000000;시기:2024년
인도네시아,국가,수입,염장다시마,품목,수입액:273억;시기:2023년
한국,기업,생산,염장다시마,품목,생산규모:56863톤;시기:2022년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
한국,기업,수출,염장다시마,품목,수출량:794;시기:2024년
인도네시아,국가,수입,염장다시마,품목,수입액:273억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
한국,기업,수출,염장다시마,품목,수출량:794;시기:2024년
인도네시아,국가,수입,염장다시마,품목,수입액:273억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
한국,기업,생산,염장다시마,품목,생산규모:56863톤;시기:2022년
인도네시아,국가,수입,염장다시마,품목,수입액:273억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:273억;시기:2023년
한국,기업,수출,염장다시마,품목,수출량:794;시기:2024년
인도네시아,국가,수입,염장다시마,품목,수입액:273억;시기:2023년
인도네시아,국가,수입,염장다시마,품목,수입액:225억;시기:2023년
