엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,시장규모,수산가공식품,품목,시장규모:약10100000000000원;시기:2023년
인도네시아,국가,시장성장률,수산가공식품,품목,연평균성장률:7.9%;시기:2019-2023
인도네시아,국가,수입규모,HS CODE 1605.54,품목,수입액:200000000원;시기:2023
인도네시아,국가,수입규모,HS CODE 1605.54,품목,수입액:300000000원;시기:2023;국가:한국
인도네시아,국가,수입단가,HS CODE 1605.54,품목,단가:12680000원/톤;시기:2023
인도네시아,국가,수입단가,HS CODE 1605.54,품목,단가:7940000원/톤;시기:2023;국가:한국
인도네시아,국가,수입량,HS CODE 1605.54,품목,수입량:16톤;시기:2023
인도네시아,국가,수입량,HS CODE 1605.54,품목,수입량:4톤;시기:2023;국가:한국
인도네시아,국가,수출액,한국,수출,수출액:31.3억 원;시기:2023
한국,국가,수출액,인도네시아,수출,수출액:31.3억 원;시기:2023
한국,국가,수출량,인도네시아,수출,수출량:5톤;시기:2023
인도네시아,국가,HS CODE,HS CODE 1605.54,품목,품명:오징어가공품
인도네시아,국가,관세율,HS CODE 1605.54,품목,관세율:0%;적용대상:한-아세안협정
인도네시아,국가,인증,BPOM,기관,인증명:할랄,인증구분:인도네시아 할랄인증
인도네시아,국가,라벨링,수입제품,규정,제품명,성분,유통기한,영양성분,수입업체명,주소,인도네시아어/영어표기
인도네시아,국가,수입신고,수입업체,절차,신고서작성,전자신고,수입허가
인도네시아,국가,검역,수입제품,절차,서류검사,임상검사,정밀검사
인도네시아,국가,통관,수입제품,절차,관세납부,물품반출
인도네시아,국가,HS CODE,HS CODE 1605.54,품목,품명:조제 또는 보존처리한 수생무척추동물
인도네시아,국가,관세율,HS CODE 1605.54,품목,관세율:0% 또는 5%
인도네시아,국가,인증,SNI,기관,인증명:국가표준인증
인도네시아,국가,인증,ISO 22000,기관,인증명:식품안전인증
인도네시아,국가,인증,GMP,기관,인증명:식품안전생산인증
인도네시아,국가,인증,HACCP,기관,인증명:식품안전관리인증
인도네시아,국가,할랄인증,BPJPH,기관,인증명:할랄인증서번호
인도네시아,국가,라벨링,수입제품,규정,제품명,성분,유통기한,영양성분,수입업체명,주소,인도네시아어/영어표기
인도네시아,국가,수출검역,수산물,절차,서류검사,임상검사,정밀검사
인도네시아,국가,수입검사,수입제품,절차,서류검사,임상검사,정밀검사
인도네시아,국가,수입신고,수입업체,절차,수입신고서작성,전자신고
인도네시아,국가,통관,수입제품,절차,관세납부,물품반출
인도네시아,국가,수입검역,수입제품,절차,서류검사,임상검사,정밀검사
인도네시아,국가,HS CODE,HS CODE 1605.54,품목,품명:오징어가공품
인도네시아,국가,관세율,HS CODE 1605.54,품목,관세율:0% 또는 5%
인도네시아,국가,인증,BPOM,기관,인증명:수입식품등록증
인도네시아,국가,인증,Halal,기관,인증명:할랄인증서
인도네시아,국가,라벨링,수입제품,규정,제품명,성분,유통기한,영양성분,수입업체명,주소,인도네시아어/영어표기
인도네시아,국가,수출신고,수출업체,절차,수출신고서작성,전자신고
인도네시아,국가,수출검역,수산물,절차,서류검사,임상검사,정밀검사
인도네시아,국가,수출검사,수출제품,절차,서류검사,임상검사,정밀검사
인도네시아,국가,수출허가,수출업체,절차,수출허가서발급
인도네시아,국가,수출검사,수출제품,절차,서류검사,임상검사,정밀검사
인도네시아,국가,HS CODE,HS CODE 1605.54,품목,품명:오징어가공품
인도네시아,국가,관세율,HS CODE 1605.54,품목,관세율:0% 또는 5%
인도네시아,국가,인증,BPOM,기관,인증명:수입식품등록증
인도네시아,국가,인증,Halal,기관,인증명:할랄인증서
인도네시아,국가,라벨링,수입제품,규정,제품명,성분,유통기한,영양성분,수입업체명,주소,인도네시아어/영어표기
