엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품명,품목,관련,콤부차,품목,제품명:콤부차 BT 라임
고객사 제품 종류,품목,관련,콤부차,품목,제품 종류:콤부차고형차
고객사 제품 중량,속성,관련,콤부차,품목,중량:508g(58*10T)
온라인 쇼핑몰,유통채널,포함,토코피디아,온라인쇼핑몰,쇼핑몰명:토코피디아
온라인 쇼핑몰,유통채널,포함,쇼피,온라인쇼핑몰,쇼핑몰명:쇼피
온라인 쇼핑몰,유통채널,포함,라자다,온라인쇼핑몰,쇼핑몰명:라자다
경쟁제품,품목,관련,콤부차,품목,경쟁제품명:T사 콤부차
경쟁제품,원산지,관련,한국,국가,원산지:한국
경쟁제품,가격,관련,가격,가격,단위:루피아,가격:85000루피아
경쟁제품,중량,관련,50g,중량,단위:g
경쟁제품,제품 종류,관련,고형차,품목,제품 종류:고형차
경쟁제품,맛,관련,복숭아,맛,맛명:복숭아
경쟁제품,인증,관련,BPOM RI ML,인증,인증명:BPOM RI ML
경쟁제품,포장 형태,관련,유리병,포장,포장형태:유리병
경쟁제품,유통기한,관련,6개월,유통기한,기간:6개월
경쟁제품,원료,관련,천연 감미료,원료,원료명:천연 감미료
경쟁제품,포장 디자인,관련,현지화,포장,포장디자인:현지화
경쟁기업,기업명,관련,레머디 드링크,기업명,기업명:레머디 드링크
경쟁기업,국적,관련,호주,국적,국가:호주
경쟁기업,설립연도,관련,2012년,설립연도,연도:2012
경쟁기업,유통채널,포함,오프라인,유통채널,채널명:그랜드 럭키 슈퍼스토어
경쟁기업,유통채널,포함,온라인,유통채널,채널명:토코피디아
경쟁기업,제품수,관련,15개,제품수,개수:15
경쟁기업,포장 현지화,관련,적극적,포장,포장현지화수준:적극적
경쟁기업,홍보 현지화,관련,적극적,홍보,홍보현지화수준:적극적
경쟁기업,경쟁력,관련,제품 품질,속성,속성명:제품 품질
경쟁기업,원산지,관련,호주,국가,원산지:호주
경쟁기업,가격,관련,약 16559원,가격,단위:원,가격:약 16559원
경쟁기업,중량,관련,120g,중량,단위:g
경쟁기업,제품 종류,관련,파우더,품목,제품 종류:파우더
경쟁기업,맛,관련,복숭아,맛,맛명:복숭아
경쟁기업,인증,관련,BPOM RI ML,인증,인증명:BPOM RI ML
경쟁기업,포장 형태,관련,종이상자/폴리에틸렌,포장,포장형태:종이상자/폴리에틸렌
경쟁기업,유통채널,포함,온라인,유통채널,채널명:토코피디아
경쟁기업,유통채널,포함,오프라인,유통채널,채널명:그랜드 럭키 슈퍼스토어
경쟁기업,경쟁력,관련,현지화,속성,속성명:현지화수준:높음
원산지,국가,관련,한국,국가,원산지:한국
원산지,국가,관련,베트남,국가,원산지:베트남
원산지,국가,관련,호주,국가,원산지:호주
제품,품목,관련,콤부차,품목,제품명:콤부차
제품,중량,관련,50g,중량,단위:g
제품,가격,관련,88548루피아,가격,단위:루피아
제품,맛,관련,생강 라임,맛,맛명:생강 라임
제품,포장 형태,관련,폴리에틸렌,포장,포장형태:폴리에틸렌
제품,인증,관련,HACCP,인증,인증명:HACCP
제품,유통기한,관련,2년,유통기한,기간:2년
제품,원료,관련,홍차,원료,원료명:홍차
제품,포장 디자인,관련,현지화,포장,포장디자인:현지화
제품,홍보 문구,관련,건강 강조,홍보문구,내용:건강 강조
제품,유통채널,포함,온라인,유통채널,채널명:온라인
제품,유통채널,포함,오프라인,유통채널,채널명:슈퍼마켓
기업,기업명,관련,Kaifa Food,기업명,기업명:Kaifa Food
기업,국적,관련,일본,국적,국가:일본
기업,설립연도,관련,없음,설립연도,없음
기업,제품수,관련,없음,제품수,없음
기업,홍보,관련,인포그래픽,홍보수단,내용:인포그래픽
기업,마케팅,관련,소셜미디어,마케팅수단,내용:소셜미디어 캠페인
