엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,시장규모,무알코올 음료,품목,시기:2024;시장규모:41.9조원
인도네시아,국가,시장규모,탄산음료,품목,시기:2023;시장규모:6.2조원
인도네시아,국가,수입액,HS CODE 2202.10,품목,시기:2023;수입액:571억원
인도네시아,국가,수입액,한국,국가,시기:2023;수입액:47억원
인도네시아,국가,시장성장률,무알코올 음료,품목,시기:2024-2028;성장률:4.8%
인도네시아,국가,시장성장률,탄산음료,품목,시기:2024-2028;성장률:7.7%
인도네시아,국가,시장규모,무알코올 음료,품목,시기:2023;시장규모:41.9조원
인도네시아,국가,시장규모,탄산음료,품목,시기:2023;시장규모:6.2조원
인도네시아,국가,수입액,HS CODE 2202.10,품목,시기:2023;수입액:571억원
인도네시아,국가,수입액,한국,국가,시기:2023;수입액:47억원
인도네시아,국가,유통채널,전통 상점,유통채널,점유율:77.2%
인도네시아,국가,유통채널,편의점,유통채널,점유율:16.6%
인도네시아,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:6.2%
한국,국가,유통채널,대형마트,유통채널,점유율:43.1%
한국,국가,유통채널,편의점,유통채널,점유율:9.8%
한국,국가,유통채널,백화점,유통채널,점유율:2.1%
인도네시아,국가,유통채널,온라인,유통채널,성장전망:높음
인도네시아,국가,브랜드,코카콜라,품목,키워드빈도:225
인도네시아,국가,브랜드,스프라이트,품목,키워드빈도:190
인도네시아,국가,브랜드,환타,품목,키워드빈도:166
인도네시아,국가,맛,레몬,품목,키워드빈도:128
인도네시아,국가,맛,라임,품목,키워드빈도:97
인도네시아,국가,맛,오렌지,품목,키워드빈도:75
인도네시아,국가,홍보문구,할랄,품목,키워드빈도:79
인도네시아,국가,홍보문구,제로슈가,품목,키워드빈도:20
인도네시아,국가,홍보문구,무방부제,품목,키워드빈도:8
인도네시아,국가,유통채널,전통 상점,유통채널,점유율:77.2%
인도네시아,국가,유통채널,편의점,유통채널,점유율:16.6%
인도네시아,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:6.2%
인도네시아,국가,유통채널,온라인,유통채널,성장전망:높음
인도네시아,국가,인증,BPOM,인증,유형:식품생산안전;기관:식품의약품안전청
인도네시아,국가,인증,ISO 22000,인증,유형:생산안전;기관:글로벌 또는 정부지정
인도네시아,국가,인증,SNI,인증,유형:국가인증;기관:인도네시아산업부
인도네시아,국가,인증,GMP,인증,유형:생산안전;기관:식품의약품안전청
인도네시아,국가,인증,할랄인증,인증,기관:BPJPH
인도네시아,국가,라벨링,성분,라벨,기준:중량내림차순;포장명반영
인도네시아,국가,라벨링,제조업체,라벨,기준:인도네시아 할랄마크표기
인도네시아,국가,라벨링,유통기한,라벨,기준:월-년 표기 가능
인도네시아,국가,유해물질,벤조산,기준:400mg/kg
인도네시아,국가,유해물질,구연산,기준:산화방지제
인도네시아,국가,유해물질,디소듐인산염,기준:1000mg/kg
인도네시아,국가,유해물질,소듐벤조에이트,기준:400mg/kg
인도네시아,국가,유해물질,포타슘벤조에이트,기준:적용
인도네시아,국가,유해물질,네오탐,기준:17mg/kg
인도네시아,국가,유해물질,소듐사카린,기준:120mg/kg
인도네시아,국가,유해물질,트리소듐오르소포스페이트,기준:1000mg/kg
인도네시아,국가,유해물질,테트라소듐디포스페이트,기준:적용
인도네시아,국가,유해물질,비소,잔류허용기준:0.05mg/kg
인도네시아,국가,유해물질,카드뮴,잔류허용기준:0.01mg/kg
인도네시아,국가,유해물질,납,잔류허용기준:0.05mg/kg
인도네시아,국가,유해물질,수은,잔류허용기준:0.005mg/kg
인도네시아,국가,유해물질,멜라민,잔류허용기준:2.5mg/kg
인도네시아,국가,유해물질,사프롤,잔류허용기준:0.1mg/kg
인도네시아,국가,유해물질,카페인,잔류허용기준:50mg/인분
인도네시아,국가,유해물질,베타-아사론,잔류허용기준:0.1mg/kg
인도네시아,국가,알레르겐,글루텐,표기필수
인도네시아,국가,알레르겐,조개류,표기필수
인도네시아,국가,알레르겐,달걀,표기필수
인도네시아,국가,알레르겐,생선,표기필수
인도네시아,국가,알레르겐,땅콩,표기필수
인도네시아,국가,알레르겐,대두,표기필수
인도네시아,국가,알레르겐,우유,표기필수
인도네시아,국가,알레르겐,견과류,표기필수
인도네시아,국가,알레르겐,락토스,표기필수
인도네시아,국가,알레르겐,아황산염,표기필수
인도네시아,국가,수출인증,HACCP,인증,유형:생산안전;기관:식품의약품안전청
인도네시아,국가,수출인증,ISO 22000,인증,유형:생산안전;기관:글로벌 또는 정부지정
인도네시아,국가,수출인증,GMP,인증,유형:생산안전;기관:식품의약품안전청
인도네시아,국가,수출인증,할랄인증,인증,기관:BPJPH
