엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
건미역,품목,수입규모,일본,국가,국가:일본;시기:2024년
건미역,품목,수입단가,일본,국가,국가:일본;시기:2024년
건미역,품목,HS CODE,일본,코드,HS CODE:1212.21
건미역,품목,생산규모,일본,국가,국가:일본;시기:2022년
건미역,품목,생산규모,한국,국가,국가:한국;시기:2022년
건미역,품목,생산량,일본,톤,47200
건미역,품목,생산량,한국,톤,590955
건미역,품목,HS CODE,일본,코드,1212.21
건미역,품목,HS CODE,한국,코드,1212.21
건미역,품목,수입액,일본,원화단위,한화추정액:304400000000
건미역,품목,수입액,한국,원화단위,한화추정액:145200000000
건미역,품목,수입단가,일본,단위,999만 원/톤
건미역,품목,수입단가,한국,단위,1438만 원/톤
건미역,품목,수출규모,한국,톤,902
건미역,품목,수출금액,한국,원,161억 원
건미역,품목,수출규모,중국,톤,68
건미역,품목,수출금액,중국,원,9억 원
건미역,품목,수출규모,대만,톤,42
건미역,품목,수출금액,대만,원,9억 원
건미역,품목,수입단가,일본,단위,999만 원/톤
건미역,품목,수입단가,한국,단위,1438만 원/톤
건미역,품목,시장점유율,일본,유통채널,하이퍼마켓/슈퍼마켓:48.6%
건미역,품목,주요 온라인 유통채널,일본,채널,아마존;라쿠텐;야후재팬;예스마트
건미역,품목,주요 유통채널,일본,채널,슈퍼마켓;온라인쇼핑몰
건미역,품목,주요 유통채널,한국,채널,한국광장;온라인사이트
건미역,품목,생산지역,일본,지역,홋카이도;효고현;도야마현;도쿠시마현
건미역,품목,생산지역,한국,지역,전국;제주도
건미역,품목,브랜드,일본,브랜드,리켄비타민;우와베;야마나카푸드
건미역,품목,브랜드,한국,브랜드,한국산;수입브랜드
건미역,품목,포장형태,일본,형태,봉지;지퍼백;소포장
건미역,품목,중량,일본,단위,50g;100g;200g;500g
건미역,품목,가격,일본,단위,약200엔~400엔;1000엔 이상
건미역,품목,주요 원산지,일본,지역,홋카이도;효고현;도야마현
건미역,품목,주요 원산지,한국,지역,제주도;전남;경남
건미역,품목,품질인증,일본,인증,HACCP;MSC;ASC;ISO22000
건미역,품목,라벨링규정,일본,규정,원재료명;유통기한;보관방법;원산지;알레르겐
건미역,품목,수출검역,일본,기관,일본 후생노동성;농림수산성;관세청
건미역,품목,수출신고,한국,절차,수출신고서작성;전자신고;적하목록제출
건미역,품목,수입검사,일본,기관,국립수산물품질관리원;수입검사;검역증명서
건미역,품목,수입단계,일본,절차,적하목록제출;수입신고;검역;통관
건미역,품목,관세율,일본,율,10.5%;약15%
건미역,품목,HS CODE,일본,코드,1212.21-2010
건미역,품목,HS CODE,한국,코드,1212.21
건미역,품목,생산량,일본,톤,47200
건미역,품목,생산량,한국,톤,590955
건미역,품목,수출액,한국,원,161억 원
건미역,품목,수출량,한국,톤,902
건미역,품목,수출액,중국,원,9억 원
건미역,품목,수출량,중국,톤,68
건미역,품목,수출액,대만,원,9억 원
건미역,품목,수출량,대만,톤,42
건미역,품목,수입단가,일본,단위,999만 원/톤
건미역,품목,수입단가,한국,단위,1438만 원/톤
