엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,단백질보충제,품목,시기:2024년;시장규모:14.7조원
일본,국가,시장규모,식이보충제,품목,시기:2022년;시장규모:1.8조원
일본,국가,시장성장률,단백질보충제,품목,시기:2020-2022;연평균성장률:11.8%
일본,국가,시장규모,영양보충제,품목,시기:2020-2022;시장규모:14.7조원
일본,국가,시장규모,영양보충제,품목,시기:2020년;시장규모:1.65조엔
일본,국가,시장규모,식이보충제,품목,시기:2020-2022;시장규모:1.8조원
일본,국가,HS코드,2106.90,관세코드,시기:2023;수입액:1200억엔;대상국:한국,국가
일본,국가,HS코드,2106.90,관세코드,시기:2023;수입액:2083억엔;대상국:한국,국가
일본,국가,HS코드,2106.90,관세코드,시기:2019-2023;수입액:감소세;수입액:약1.2조원
일본,국가,수입액,한국,국가,시기:2019-2023;수입액:약2083억엔
일본,국가,수입액,글로벌,국가,시기:2019-2023;수입액:약1.2조엔
일본,국가,시장유통채널,드럭스토어,유통채널,시기:2024;점유율:36.7%
일본,국가,시장유통채널,온라인,유통채널,시기:2024;점유율:26.2%
일본,국가,시장유통채널,슈퍼마켓/하이퍼마켓,유통채널,시기:2024;점유율:10.6%
일본,국가,시장유통채널,편의점,유통채널,시기:2024;점유율:4.4%
일본,국가,시장유통채널,전문점,유통채널,시기:2024;점유율:2.1%
일본,국가,유통기업,라이프,기업명,홈페이지:www.lifecorp.jp;위치:일본전역;규모:매출액6조5794억원;매장수:308개
일본,국가,유통기업,맥스밸류,기업명,홈페이지:www.mv-tokai.co.jp;위치:일본전역;규모:매출액3조1524억 원;매장수:721개
일본,국가,유통기업,예스마트,기업명,홈페이지:www.yesmart.co.jp;위치:도쿄,오키나와;매장수:25개
일본,국가,유통기업,장터한국광장,기업명,홈페이지:www.ehiroba.jp/hiroba;위치:도쿄,오사카;매장수:2개
일본,국가,유통기업,아마존일본,기업명,홈페이지:www.amazon.co.jp;규모:2023년매출129억엔;회원수:1억명 이상
일본,국가,유통기업,라쿠텐,기업명,홈페이지:www.rakuten.co.jp;규모:2023년매출약2조713억엔;회원수:1억명 이상
일본,국가,수출입,일본후생노동성,기관명,홈페이지:www.mhlw.go.jp;역할:수입수출사전등록,수입검사기준
일본,국가,인증,JAS,인증명,적용:유기농식품;기관:일본농림수산성
일본,국가,인증,FSSC22000,인증명,적용:식품생산안전;기관:글로벌공통
일본,국가,인증,HACCP,인증명,적용:식품위생;기관:한국식품안전관리인증원
일본,국가,인증,ISO22000,인증명,적용:식품생산안전;기관:정부지정 또는국제기관
일본,국가,라벨링,표기기준,기준,내용량:20g;표시사항:영양성분,유통기한,주의사항
일본,국가,수입검사,잔류허용기준,기준,아플라톡신B1:10ppb이하;잔류허용기준:아플라톡신B1
일본,국가,알레르겐,규정,대상,밀,새우,게,달걀,땅콩,우유,메밀,호두,아몬드,전복,오징어,연어,연어알,고등어
일본,국가,수출업체,AEO,제도,혜택:신속통관,검사생략,우선검사,경쟁력강화,신속통관,무역장벽해소
일본,국가,수출업체,AEO,적용대상,수출입기업,운송인,창고업자,관세사,보세구역운영인,하역업자,선박회사,항공사
일본,국가,수출업체,AEO,신청방법,신청서제출,서류심사(60일이내),현장심사(60일이내)
일본,국가,인증,JAS,인증명,목적:유기농;기관:일본농림수산성
일본,국가,수출,수출절차,요구사항,품질인증,위생관리,수입전등록,수출신고
일본,국가,수출,수출절차,혜택,신속통관,검사생략,우선검사
일본,국가,수출,수출절차,준수사항,식품위생법,관세법,수입무역관리령
일본,국가,수출,수출절차,관련기관,관세청,후생노동성,농림수산성
