엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,수산가공식품,품목,시장규모:33.5조원;시기:2023년
한국,국가,수출,물회,품목,수출액:7억원;중량:15.6톤;시기:2023년
일본,국가,수입,HS CODE 1605.57,품목,수입액:90억 원;시기:2023년
한국,국가,수출,물회,품목,수출액:7억 원;중량:15.6톤;시기:2023년
일본,국가,수입,HS CODE 1605.57-1000,품목,수입액:16억 원;시기:2023년
일본,국가,수입단가,HS CODE 1605.57,품목,단가:4042만 원/톤;시기:2023년
일본,국가,수입단가,HS CODE 1605.57-1000,품목,단가:3964만 원/톤;시기:2023년
일본,국가,수입액,대한국,품목,수입액:16억 원;시기:2023년
일본,국가,수입액,대글로벌,품목,수입액:90억 원;시기:2023년
일본,국가,수입액,대만,품목,수입액:1521만 원;시기:2023년
일본,국가,수입액,중국,품목,수입액:1728만 원;시기:2023년
일본,국가,수입액,호주,품목,수입액:20억 원;시기:2023년
일본,국가,수입액,세네갈,품목,수입액:3억 원;시기:2023년
한국,국가,수출,물회,품목,수출액:21억 원;중량:48.7톤;시기:2023년
일본,국가,수입단가,HS CODE 1605.57,품목,단가:4042만 원/톤;시기:2023년
일본,국가,수입단가,HS CODE 1605.57-1000,품목,단가:3964만 원/톤;시기:2023년
일본,국가,수입액,한국,품목,수입액:16억 원;시기:2023년
일본,국가,수입액,중국,품목,수입액:1728만 원;시기:2023년
일본,국가,수입액,대만,품목,수입액:1521만 원;시기:2023년
일본,국가,수입액,호주,품목,수입액:8억 원;시기:2023년
일본,국가,수입액,세네갈,품목,수입액:3억 원;시기:2023년
일본,국가,수입액,전복,품목,수입액:16억 원;시기:2023년
일본,국가,수입액,연어,품목,수입액:없음;시기:2023년
일본,국가,수입액,참치,품목,수입액:없음;시기:2023년
일본,국가,수입액,도미,품목,수입액:없음;시기:2023년
일본,국가,수입액,고등어,품목,수입액:없음;시기:2023년
일본,국가,수입액,가다랑어,품목,수입액:없음;시기:2023년
일본,국가,수입액,방어,품목,수입액:없음;시기:2023년
일본,국가,수입액,대방어,품목,수입액:없음;시기:2023년
일본,국가,수입액,물회,품목,수입액:90억 원;시기:2023년
일본,국가,수입액,수산물,품목,수입액:없음;시기:2023년
일본,국가,수입액,수산가공품,품목,수입액:없음;시기:2023년
일본,국가,수입액,수산물전염병,품목,수입액:없음;시기:2023년
일본,국가,수입액,수산물검역,품목,수입액:없음;시기:2023년
일본,국가,수입액,수산물수출,품목,수입액:없음;시기:2023년
