엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,커피 및 차 음료 시장,시장,2023년:47.1조원;연평균성장률:3.2%
일본,국가,시장규모,차 음료 시장,시장,2019년:20.44조원;2023년:24.12조원;연평균성장률:4.2%
일본,국가,시장규모,차 음료 시장,시장,2023년:31.5조원;연평균성장률:4.2%
일본,국가,HS CODE,2101.30,HS CODE,볶은 치커리ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물ㆍ에센스ㆍ농축물
일본,국가,수입액,HS CODE 2101.30,수입액,2023년:42억 원;전년대비:2.4%감소
일본,국가,수입액,HS CODE 2101.30,수입액,2023년:23억 원;전년대비:5.3%증가
일본,국가,시장점유율,이토엔,브랜드,166건으로 압도적 점유율 1위
일본,국가,시장점유율,에이지에프,브랜드,37건
일본,국가,시장점유율,닛토리레,브랜드,12건
일본,국가,시장점유율,산토리,브랜드,6건
일본,국가,시장점유율,코카콜라,브랜드,6건
일본,국가,시장점유율,산토리,브랜드,3건
일본,국가,홍보문구,건강,키워드,144건
일본,국가,홍보문구,카페인없음,키워드,31건
일본,국가,홍보문구,미네랄,키워드,18건
일본,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,43.6%
일본,국가,유통채널,온라인,유통채널,4.6%
일본,국가,유통채널,드럭스토어,유통채널,16.1%
일본,국가,유통채널,편의점,유통채널,14.6%
일본,국가,유통채널,기타,유통채널,10.7%
일본,국가,주요 유통사,라이프,유통사,매출액:7654억3000만엔;매장수:308개
일본,국가,주요 유통사,맥스밸류,유통사,매출액:3667억3383억엔;매장수:721개
일본,국가,주요 유통사,츠루하,유통사,2589개 매장
일본,국가,주요 유통사,마츠모토키요시,유통사,1878개 매장
일본,국가,주요 유통사,비오세봉,유통사,24개 매장
일본,국가,주요 유통사,아마존,유통사,2023년 매출액:3조엔
일본,국가,수출입 규제,후생노동성,규제기관,식품 사전 등록 필요
일본,국가,인증,HACCP,인증,2021년 6월 1일 이후 필수
일본,국가,인증,JAS,인증,유기농 식품 인증
일본,국가,인증,FSSC 22000,인증,식품 생산 안전 인증
일본,국가,인증,ISO 22000,인증,식품 생산 안전 인증
일본,국가,인증,IFS,인증,식품 생산 안전 인증
일본,국가,라벨링,제품명,라벨,일본어 표기,제품명,원재료,첨가물,내용량,영양성분,유통기한
일본,국가,포장형태,450ml,포장,주요 패키지 형태
일본,국가,포장형태,캔,포장,주요 패키지 형태
일본,국가,포장형태,페트병,포장,주요 패키지 형태
일본,국가,포장형태,팩,포장,주요 패키지 형태
일본,국가,포장형태,스틱,포장,휴대용,편리성 강조
일본,국가,시장 트렌드,농축액,제품 유형,편리성 증가
일본,국가,시장 트렌드,RTD,제품 유형,즉시 섭취 가능
일본,국가,시장 트렌드,티백,제품 유형,전통적 인기
일본,국가,가격경쟁력,6,000원/12개,가격,경쟁력 평가 필요
일본,국가,가격대,유사 제품,가격,개당 약 50엔(455원)
일본,국가,원산지,한국,원산지,신뢰도 높음
일본,국가,마케팅 포인트,고령군 보리 100%,원산지,효과적 홍보 가능
일본,국가,포장 용량,개별 스틱,포장,휴대성과 편리성
일본,국가,시장 전략,초기 유통,전문 슈퍼마켓,효과적
일본,국가,규제,식품첨가물,규제,사용기준 준수 필요
일본,국가,규제,유해물질,잔류허용기준,엄격 준수 필요
