엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,수면보조제,품목,시기:2024;시장규모:408억엔
일본,국가,시장규모,일반의약품,품목,시기:2024;시장규모:11.4조원
일본,국가,시장규모,HS CODE 2106.90,품목,시기:2023;시장규모:118억달러
일본,국가,수입액,HS CODE 2106.90,품목,시기:2023;수입액:118억엔
일본,국가,수입액,일본 對한국 수입액,품목,시기:2023;수입액:2080억엔
일본,국가,수출입,미츠코시백화점,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,다이마루백화점,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,라이프,기업,위치:일본전역;유통채널:하이퍼마켓/슈퍼마켓
일본,국가,수출입,맥스밸류,기업,위치:일본전역;유통채널:하이퍼마켓/슈퍼마켓
일본,국가,수출입,츠루하,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,마츠모토키요시,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,세이유,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,이세탄미츠코시,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,다이마루,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,라이프,기업,위치:일본전역;유통채널:슈퍼마켓
일본,국가,수출입,맥스밸류,기업,위치:일본전역;유통채널:슈퍼마켓
일본,국가,수출입,츠루하,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,마츠모토키요시,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,세이유,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,이세탄미츠코시,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,다이마루,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,라이프,기업,위치:일본전역;유통채널:슈퍼마켓
일본,국가,수출입,맥스밸류,기업,위치:일본전역;유통채널:슈퍼마켓
일본,국가,수출입,츠루하,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,마츠모토키요시,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,세이유,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,이세탄미츠코시,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,다이마루,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,라이프,기업,위치:일본전역;유통채널:슈퍼마켓
일본,국가,수출입,맥스밸류,기업,위치:일본전역;유통채널:슈퍼마켓
일본,국가,수출입,츠루하,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,마츠모토키요시,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,세이유,기업,위치:일본전역;유통채널:드럭스토어
일본,국가,수출입,이세탄미츠코시,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,다이마루,기업,위치:일본전역;유통채널:백화점
일본,국가,수출입,라이프,기업,위치:일본전역;유통채널:슈퍼마켓
