엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
활광어,품목,생산지,한국,국가,국가:한국
활광어,품목,생산지,일본,국가,국가:일본
아마존,기업,운영,ASK산인,기업,제조사명:ASK산인
라쿠텐,기업,운영,칸스이산,기업,제조사명:칸스이산
야후 쇼핑,기업,운영,무라타 스이산,기업,제조사명:무라타 스이산
미츠코시 이세탄 토신,기업,운영,스이산,기업,제조사명:미츠코시 이세탄 토신
호쿠신,기업,운영,스이산,기업,제조사명:호쿠신
나카지마,기업,운영,이케부쿠로 쇼핑파크,기업,제조사명:나카지마 스이산
이사미야,기업,운영,이사미야,기업,제조사명:이사미야
카부시키가이샤,기업,운영,ACS,기업,제조사명:ACS Co., Ltd.
마루카 피셔리즈,기업,운영,마루카 피셔리즈,기업,제조사명:마루카 피셔리즈
호쿠신 스이산,기업,운영,스이산,기업,제조사명:호쿠신
나카지마 스이산,기업,운영,이케부쿠로 쇼핑파크,기업,제조사명:나카지마 스이산
이케부쿠로 쇼핑파크,기업,운영,이케부쿠로 쇼핑파크,기업,제조사명:이케부쿠로 쇼핑파크
이샤미야,기업,운영,이샤미야,기업,제조사명:이샤미야
마루이 백화점,유통채널,입점,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
세이부 백화점,유통채널,입점,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
토부 백화점,유통채널,입점,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
이케부쿠로 쇼핑파크,유통채널,입점,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
이샤미야,유통채널,입점,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
미츠코시 이세탄 토신,홍보,사용,자연산,품목,홍보문구:자연산
호쿠신,홍보,사용,돋보이는 천연의 맛,품목,홍보문구:돋보이는 천연의 맛
나카지마,홍보,사용,오늘의 추천상품,품목,홍보문구:오늘의 추천상품
이사미야,홍보,사용,큐슈 인지도 No.1,품목,홍보문구:큐슈 인지도 No.1
호쿠신,포장,현지화,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
나카지마,포장,현지화,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
이케부쿠로 쇼핑파크,포장,현지화,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
이샤미야,포장,현지화,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
미츠코시 이세탄 토신,생산,지역,홋카이도산,품목,생산지:홋카이도
호쿠신,생산,지역,홋카이도산,품목,생산지:홋카이도
나카지마,생산,지역,홋카이도산,품목,생산지:홋카이도
이케부쿠로 쇼핑파크,생산,지역,홋카이도산,품목,생산지:홋카이도
이사미야,생산,지역,구마모토현산,품목,생산지:구마모토현
카부시키가이샤,생산,지역,기타지역,품목,생산지:기타지역
마루카 피셔리즈,생산,지역,기타지역,품목,생산지:기타지역
