엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,시장규모,중국 소스&향신료시장,시장,시기:2024년;규모:54조원
중국,국가,시장규모,중국 향신료&요리용허브시장,시장,시기:2024년;규모:1.69조원
중국,국가,시장규모,중국 정제형조미료수입규모,시장,시기:2024년;규모:2457억원
중국,국가,수입액,중국 HS CODE 2103.90 수입액,수입액,시기:2023년;대상:글로벌:2457억 원;한국:437억 원
중국,국가,수입액,중국 HS CODE 2103.90 수입액,수입액,시기:2023년;대상:한국:437억 원
중국,국가,수입액,중국 對글로벌 수입액,수입액,시기:2023년;대상:2457억 원
중국,국가,수입액,중국 對한국 수입액,수입액,시기:2023년;대상:437억 원
중국,국가,시장 성장률,중국 소스&향신료시장,시장,연평균성장률:10.5%;2020년증가율:14.0%
중국,국가,시장 성장률,중국 향신료&요리용허브시장,시장,연평균성장률:3.5%;2020년증가율:5.5%
중국,국가,시장 성장률,중국 정제형조미료시장,시장,연평균성장률:8.1%;2024년예상:62조원
중국,국가,시장 성장률,중국 향신료&요리용허브시장,시장,연평균성장률:3.0%;2024년예상:1.90조원
중국,기업,유통채널,화룬완지아,유통업체,홈페이지:www.crv.com.cn;매장수:약4000개;지역:중국전역
중국,기업,유통채널,월마트 중국,유통업체,홈페이지:en.walmart.cn;매장수:약400개;지역:중국전역
중국,기업,유통채널,우리마트,유통업체,지역:상하이,쑤저우,우시;매장수:4개
중국,기업,유통채널,지마트,유통업체,지역:상해,청도 등;매장수:4개
중국,기업,유통채널,징동,온라인쇼핑몰,홈페이지:www.jd.com;매장수:약15000개;지역:중국전역
중국,기업,유통채널,타오바오,온라인쇼핑몰,홈페이지:www.taobao.com;거래처:런완샹,위니앙
중국,기업,수출등록,중국 해관총서(GACC),기관,등록유효기간:5년;대상:수출기업
중국,기업,수출통관,중국 수입식품 해외생산기업 등록,기관,등록필수;등록번호:시스템등록 후 발급
중국,기관,인증,중국 AQSIQ,기관,적용대상:수입식품;등록필수
중국,기관,인증,중국 유기산품 인증,기관,적용대상:유기농품
중국,기관,포장규제,중국 식품 과대포장 규제,규정,포장공간비율:Q와b기준
중국,기관,포장규제,GB 7718-2011,규정,글자크기:1.8mm 이상;포장표기:중국어
중국,기관,라벨,중국 식품 라벨 표기,규정,원산지:중국내 대리점명,주소,연락처 표기
중국,기업,브랜드,완방,중국 브랜드,키워드빈도:48
중국,기업,브랜드,텐추,중국 브랜드,키워드빈도:7
중국,기업,브랜드,찬추,중국 브랜드,키워드빈도:7
중국,기업,성분,소금,성분,빈도:32
중국,기업,성분,커민,성분,빈도:15
중국,기업,성분,고추,성분,빈도:6
중국,기업,성분,마늘,성분,빈도:3
중국,기업,성분,생강,성분,빈도:2
중국,기업,패키징,팩,포장형태,빈도:71
중국,기업,패키징,봉지,포장형태,빈도:53
중국,기업,중량,100g,포장크기,빈도:44
중국,기업,중량,500g,포장크기,빈도:25
중국,기업,중량,454g,포장크기,빈도:15
중국,기업,중량,50g,포장크기,빈도:34
중국,기업,중량,20g,포장크기,빈도:13
