엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
캐나다,국가,시장,한국산 배추,품목,원산지:한국;시기:2024년
월마트,Walmart,판매하는 제품,배추 양배추,품목,가격:17188원;중량:3kg;포장:종이상자;특징:한국산 신선
리얼 캐내디언 슈퍼스토어,슈퍼마켓,판매하는 제품,차이니즈 캐비지 나파,품목,가격:3700원;중량:1.3kg;원산지:미국/멕시코/캐나다
티앤티 슈퍼마켓,슈퍼마켓,판매하는 제품,나파(쇼트),품목,가격:1284원;중량:0.45kg;원산지:미국
티앤티 슈퍼마켓,슈퍼마켓,판매하는 제품,베이비 나파,품목,가격:6663원;중량:0.5kg;원산지:멕시코
보일라,온라인 식료품 배달,판매하는 제품,그린 캐비지,품목,가격:4034원;중량:1.6kg;원산지:캐나다
세이브 온 푸드,슈퍼마켓,판매하는 제품,한국산 배추,품목,가격:17188원;중량:3kg;포장:종이상자;특징:한국산 신선
토마스 프레시,농산물 재배업체,수입하는 제품,타이와니즈 캐비지,품목,가격:3296원;중량:1.9kg;원산지:한국
티앤티 슈퍼마켓,슈퍼마켓,판매하는 제품,나파(쇼트),품목,가격:2871원;중량:1.6kg;원산지:미국
노 프릴스,슈퍼마켓,판매하는 제품,한국산 배추,품목,가격:17188원;중량:3kg;포장:종이상자;특징:한국산
한국농수산식품유통공사,기관,공개하는 정보,캐나다 배추류 시장,시장,가격대:4-10캐나다달러/kg;경쟁력:품질과 신선도 강조
월마트,유통업체,판매하는 제품,캐비지 나파,품목,가격:2831원;중량:2kg;원산지:멕시코
리얼 캐내디언 슈퍼스토어,슈퍼마켓,판매하는 제품,중국 타이와니즈 캐비지,품목,가격:1537원;중량:1.3kg;원산지:중국
티앤티 슈퍼마켓,슈퍼마켓,판매하는 제품,베이비 나파,품목,가격:2871원;중량:0.5kg;원산지:멕시코
보일라,온라인 배달,판매하는 제품,그린 캐비지,품목,가격:4034원;중량:1.6kg;원산지:캐나다
이상 CSV 형식으로 엔터티와 관계, 속성을 정리하였으며, 식품 분야의 Knowledge Graph 구축에 참고하시기 바랍니다.
