엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
캐나다,국가,시장,복숭아,품목,원산지:캐나다;시기:2024년
한국,국가,수입원,복숭아,품목,원산지:한국;시기:2024년
마운틴 뷰 프루트,기업,제조,복숭아,품목,품종:황도|천도복숭아;설립연도:1994년;국적:미국
프레지던트 초이스,기업,제조,복숭아,품목,품종:복숭아;설립연도:1984년;국적:캐나다
프레쉬 테이스트 프로듀스,기업,제조,복숭아,품목,품종:복숭아;설립연도:2001년;국적:캐나다
마운틴 뷰 프루트,기업,수입,복숭아,품목,원산지:미국
프레지던트 초이스,기업,수입,복숭아,품목,원산지:미국
프레쉬 테이스트 프로듀스,기업,수입,복숭아,품목,원산지:미국
리얼 캐내디언 슈퍼스토어,유통채널,판매,복숭아,품목,포장형태:플라스틱 용기;포장용량:3L,2L
월마트,유통채널,판매,복숭아,품목,포장형태:벌크;포장용량:2파운드
한남 슈퍼마켓,유통채널,판매,복숭아,품목,포장형태:종이 상자;포장용량:4파운드
에이치 마트,유통채널,판매,복숭아,품목,포장형태:벌크;포장용량:1파운드
세이브 온 푸드,유통채널,판매,복숭아,품목,포장형태:벌크;포장용량:1파운드
캐나다,국가,시장,복숭아,품목,원산지:미국
캐나다,국가,시장,복숭아,품목,원산지:한국
복숭아,품목,당도,약 13브릭스,속성
한국산 복숭아,품목,인식,신선하고 크기가 큼,속성
캐나다,국가,시장,복숭아,품목,시기:여름철
복숭아,품목,특징,달콤하고 활용도 높음,속성
