엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,시장규모,수산가공식품,품목,시장규모:2.50조원;시기:2023
한국,국가,수산김생산규모,김,품목,2022생산량:550422톤;연평균성장률:-0.8%
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억원;시기:2023
태국,국가,수입액,HS CODE 1212.21,품목,2023수입액:940억원;시기:2023
한국,기업,수출,태국,국가,수출액:6880억 원;시기:2023
태국,국가,수입,한국,국가,수입액:77억 원;시기:2023
태국,국가,수입,중국,국가,수입액:133억 원;시기:2023
태국,국가,수입,대만,국가,수입액:43억 원;시기:2023
한국,기업,생산규모,김,품목,2022생산량:550222톤;연평균성장률:-0.8%
태국,국가,수입단가,HS CODE 2008.99,품목,2023수입단가:3398만 원/톤;시기:2023
태국,국가,수입단가,HS CODE 1212.21,품목,2023수입단가:1718만 원/톤;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1212.21,품목,2023수입액:940억 원;시기:2023
한국,기업,수출,태국,국가,수출액:75억 원;시기:2023
태국,국가,수입,한국,국가,수입액:77억 원;시기:2023
태국,국가,수입,중국,국가,수입액:23억 원;시기:2023
태국,국가,수입,대만,국가,수입액:19억 원;시기:2023
태국,국가,수입단가,HS CODE 2008.99,품목,2023수입단가:3398만 원/톤;시기:2023
태국,국가,수입단가,HS CODE 1212.21,품목,2023수입단가:1718만 원/톤;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1212.21,품목,2023수입액:940억 원;시기:2023
한국,기업,수출,태국,국가,수출액:75억 원;시기:2023
태국,국가,수입,한국,국가,수입액:77억 원;시기:2023
태국,국가,수입,중국,국가,수입액:23억 원;시기:2023
태국,국가,수입,대만,국가,수입액:19억 원;시기:2023
한국,기업,생산규모,김,품목,2022생산량:550222톤;연평균성장률:-0.8%
태국,국가,수입단가,HS CODE 2008.99,품목,2023수입단가:3398만 원/톤;시기:2023
태국,국가,수입단가,HS CODE 1212.21,품목,2023수입단가:1718만 원/톤;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1212.21,품목,2023수입액:940억 원;시기:2023
한국,기업,수출,태국,국가,수출액:75억 원;시기:2023
태국,국가,수입,한국,국가,수입액:77억 원;시기:2023
