엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,시장규모,수산가공식품,품목,시장규모:2.50조원;시기:2024
태국,국가,시장성장률,수산가공식품,품목,연평균성장률:4.8%;시기:2024-2028
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:1848억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:46억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:77억 원;시기:2023
태국,국가,수출규모,한국,국가,2023수출규모:227억 원;시기:2023
태국,국가,수출규모,대만,국가,2023수출규모:62억 원;시기:2023
태국,국가,수출규모,중국,국가,2023수출규모:289억 원;시기:2023
태국,국가,수출규모,일본,국가,2023수출규모:23억 원;시기:2023
태국,국가,수출규모,말레이시아,국가,2023수출규모:924억 원;시기:2023
태국,국가,수출규모,대만,국가,2023수출규모:62억 원;시기:2023
태국,국가,수출규모,중국,국가,2023수출규모:289억 원;시기:2023
태국,국가,수출규모,한국,국가,2023수출규모:227억 원;시기:2023
태국,국가,수출규모,태국,국가,2023수출규모:0.7톤;시기:2023
태국,국가,수출규모,대만,국가,2023수출규모:18.8톤;시기:2023
태국,국가,수출규모,중국,국가,2023수출규모:12.4톤;시기:2023
태국,국가,수출규모,한국,국가,2023수출규모:3,079.7톤;시기:2023
태국,국가,수출단가,HS CODE 1905.90,품목,2023수출단가:749만 원/톤;시기:2023
태국,국가,수출단가,HS CODE 2008.99,품목,2023수출단가:424만 원/톤;시기:2023
태국,국가,수입단가,HS CODE 1905.90,품목,2023수입단가:24623원/톤;시기:2023
태국,국가,수입단가,HS CODE 2008.99,품목,2023수입단가:3398만 원/톤;시기:2023
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:46억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:77억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:1848억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:46억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:77억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:1848억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:325억 원;시기:2023
태국,국가,수입액,HS CODE 1905.90,품목,2023수입액:46억 원;시기:2023
태국,국가,수입액,HS CODE 2008.99,품목,2023수입액:77억 원;시기:2023
