엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,수입시장규모,샤인머스캣,품목,시장규모:6.3조원;시기:2023년
태국,국가,수입시장성장률,샤인머스캣,품목,연평균성장률:3.8%;시기:2024-2028
태국,국가,수입시장규모,베리및포도,품목,시장규모:0.76조달러;시기:2023
태국,국가,수입시장성장률,베리및포도,품목,연평균성장률:2.8%;시기:2019-2023
태국,국가,수입시장규모,신선과일,품목,시장규모:4.56조달러;시기:2023
태국,국가,수입시장성장률,신선과일,품목,연평균성장률:3.5%;시기:2019-2023
태국,국가,수입액,HS CODE 0806.10,품목,2023년:283464억 원;전년대비증가율:18.1%
태국,국가,수입액,HS CODE 0806.10,품목,대한국수입액:28억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대글로벌수입액:3912억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대중국수입액:3258억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대호주수입액:328억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대페루수입액:102억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대한국수입액:28억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대글로벌수입액:3912억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대중국수입액:3258억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대호주수입액:328억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대페루수입액:102억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대한국수입액:28억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대글로벌수입액:3912억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대중국수입액:3258억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대호주수입액:328억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대페루수입액:102억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,2023년:283464억 원;전년대비증가율:18.1%
태국,국가,수입액,HS CODE 0806.10,품목,2023년:28억 원;전년대비증가율:88.0%
태국,국가,수입액,HS CODE 0806.10,품목,2023년:28억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대중국수입액:3258억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대호주수입액:328억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대페루수입액:102억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대한국수입액:28억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대글로벌수입액:3912억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대중국수입액:3258억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대호주수입액:328억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대페루수입액:102억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,2023년:283464억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,2023년:28억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대중국수입액:3258억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대호주수입액:328억 원;시기:2023
태국,국가,수입액,HS CODE 0806.10,품목,대페루수입액:102억 원;시기:2023
