엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,중요한 시장,전복죽,제품,시기:2024년;국가:태국
H사,기업,제조,전복죽,제품,가격:158바트;중량:320g;원산지:한국;포장:플라스틱
D사,기업,제조,양반 전복죽,제품,가격:89바트;중량:288g;원산지:한국;포장:플라스틱
메디푸드 타일랜드,기업,제조,족까이 헷험,제품,가격:95바트;중량:138g;원산지:태국;포장:비닐
컨티넨탈 푸드,기업,제조,족카오오트,제품,가격:13바트;중량:32g;원산지:태국;포장:비닐
엘피 코리안 스토어,기업,판매,전복죽,제품,원산지:한국;인증:HACCP;포장:플라스틱
빌라 마켓,기업,판매,전복죽,제품,원산지:한국;인증:HACCP;포장:플라스틱
빅 씨,기업,판매,전복죽,제품,원산지:한국;인증:HACCP;포장:플라스틱
마크로,기업,판매,전복죽,제품,원산지:한국;인증:HACCP;포장:플라스틱
세븐일레븐,기업,판매,전복죽,제품,원산지:한국;인증:HACCP;포장:플라스틱
라자다,온라인쇼핑몰,판매,크노르컵족,제품,가격:112바트;중량:512g;원산지:태국
쇼피,온라인쇼핑몰,판매,크노르컵족,제품,가격:472바트;중량:1080g;원산지:태국
엘피 파라다이스 마케팅,기업,운영,LP Korean Store,기업,위치:방콕;유통채널:오프라인
빨간 전복죽,제품,홍보,전복죽,제품,홍보문구:영양많은 전복과 버섯이 듬뿍
양반 전복죽,제품,홍보,전복죽,제품,홍보문구:부드러운 전복이 한가득
메디푸드 타일랜드,기업,홍보,족까이 헷험,제품,홍보문구:유기농 자스민쌀;건강;맛
컨티넨탈 푸드,기업,홍보,족카오오트,제품,홍보문구:식이섬유;소화촉진
빅 씨,기업,홍보,족참끙삼렛쯜롯까이,제품,홍보문구:맛있는 한끼
마크로,기업,홍보,퀘이커 오트밀,제품,홍보문구:건조;영양가 높음
태국,국가,시장,전복죽,제품,시기:2024년;국가:태국
D사,기업,수입,전복죽,제품,가격:3168원;중량:285g;원산지:한국
한국,국가,생산,전복죽,제품,원산지:한국
태국,국가,시장,전복죽,제품,시기:2024년;국가:태국
