엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산,국가,생산지,해조류 제품,품목,국가:한국
A제품,품목,브랜드,한국산 해조류 제품,품목,브랜드:A제품
B제품,품목,브랜드,한국산 해조류 제품,품목,브랜드:B제품
한국산 해조류 제품,품목,품질,품질,속성:품질:중
한국산 해조류 제품,품목,출시,해조류 제품,품목,시기:2024년
해조류 제품,품목,섭취 권장,해조류름,품목,속성:섭취권장:자주 섭취
해조류 제품,품목,품질,품질,속성:품질:좋음
해조류 제품,품목,가격,가격,속성:가격:비싸
해조류 제품,품목,유행,시즈님 제품,품목,속성:유행:시즈님 제품 유행
해조류 제품,품목,구매 경험,구매 경험,속성:구매 경험:있음
해조류 제품,품목,구매 경험,구매 경험,속성:구매 경험:없음
A제품,품목,인지도,제품 인지도,속성:인지도:78.9%
B제품,품목,인지도,제품 인지도,속성:인지도:67.1%
A제품,품목,평가,만족도,속성:만족도:3.03
A제품,품목,신회성,신회성,속성:신회성:3.55
A제품,품목,구매 의향,구매 의향,속성:구매 의향:3.03
A제품,품목,차별성,차별성,속성:차별성:3.36
B제품,품목,평가,만족도,속성:만족도:3.22
B제품,품목,신회성,신회성,속성:신회성:3.82
B제품,품목,구매 의향,구매 의향,속성:구매 의향:3.09
B제품,품목,차별성,차별성,속성:차별성:3.55
해조류름,품목,섭취,건강에 좋다,속성:섭취:건강에 좋다|자주 섭취
한국산 해조류,품목,품질,품질,속성:품질:중
한국산 해조류,품목,신제품 출시,해조류 제품,품목,시기:2024년
해조류 제품,품목,선호 이유,프로모션,속성:선호 이유:할인행사 자주 진행
해조류 제품,품목,평가,만족도,속성:만족도:3.22
해조류 제품,품목,신회성,신회성,속성:신회성:3.82
해조류 제품,품목,차별성,차별성,속성:차별성:3.55
