엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
프랑스,국가,시장규모,채소,품목,시기:2024;시장규모:25.8조원
프랑스,국가,시장성장률,채소,품목,시기:2024;연평균성장률:3.2%
프랑스,국가,시장규모,가공 및 냉동 채소,품목,시기:2024;시장규모:4.7조원
프랑스,국가,시장성장률,가공 및 냉동 채소,품목,시기:2024;연평균성장률:6.0%
프랑스,국가,수입규모,고구마,품목,시기:2023;수입액:796억 원
프랑스,국가,한국 수입액,고구마,품목,시기:2023;수입액:2222만 원
프랑스,국가,HS CODE,고구마,품목,코드:0714.20
프랑스,국가,수입증가율,고구마,품목,시기:2019-2023;연평균증가율:24.8%
프랑스,국가,수출국,고구마,품목,주요수출국:미국|스페인|이스라엘
프랑스,국가,시장점유율,슈퍼마켓,유통채널,점유율:47.7%
프랑스,국가,시장점유율,전문점,유통채널,점유율:8.4%
프랑스,국가,시장점유율,농산물 직판장,유통채널,점유율:7.1%
프랑스,국가,시장점유율,할인점,유통채널,점유율:6.8%
프랑스,국가,시장점유율,드럭스토어,유통채널,점유율:4.5%
프랑스,국가,시장점유율,편의점,유통채널,점유율:3.2%
프랑스,국가,시장점유율,기타,유통채널,점유율:22.1%
라그랑드에피세리,기업,유통채널,백화점,유형,설립연도:1838;지점수:2;특징:고급 식료품 판매
르끌레어,기업,유통채널,하이퍼마켓/슈퍼마켓,유형,점유율:23.9%;설립연도:1948
까르푸,기업,유통채널,하이퍼마켓/슈퍼마켓,유형,설립연도:1960;점포수:1225
프랑프리,기업,유통채널,하이퍼마켓/슈퍼마켓,유형,설립연도:1958;점포수:수
에이스마트,기업,유통채널,한인마트,유형,설립연도:1998;매장수:4
케이마트,기업,유통채널,한인마트,유형,점포수:5
이들 기업,기업,국가,프랑스,국가,시기:2024;특징:한국산 제품 유통
프랑스,국가,유통규제,플라스틱 포장,규제,시기:2022;내용:일회용 플라스틱 금지
프랑스,국가,유통기한표시,식품,규제,시기:2022;내용:유통기한 표시 규정 수정
프랑스,국가,인증,간편 고구마,품목,인증명:HACCP;인증기관:한국식품안전관리인증원
프랑스,국가,라벨링,간편 고구마,품목,기준:제품명,성분목록,영양정보,유통기한,알레르기유발물질
프랑스,국가,수입규제,HS CODE 0714.20,품목,시기:2023;수입액:796억 원
프랑스,국가,수입증가율,고구마,품목,시기:2019-2023;연평균증가율:24.8%
프랑스,국가,수출국,고구마,품목,주요수출국:미국|스페인|이스라엘
프랑스,국가,시장성장전망,식품유통시장,시기:2027;시장규모:2,636억 달러
프랑스,국가,유통채널,슈퍼마켓/하이퍼마켓,유형,점유율:47.7%
프랑스,국가,유통채널,기타,유형,점유율:22.1%
프랑스,국가,유통채널,전문점,유형,점유율:8.4%
프랑스,국가,유통채널,온라인,유형,점유율:수
프랑스,국가,유통채널,편의점,유형,점유율:3.2%
프랑스,국가,유통채널,농산물 직판장,유형,점유율:7.1%
프랑스,국가,유통채널,할인점,유형,점유율:6.8%
프랑스,국가,유통채널,드럭스토어,유형,점유율:4.5%
프랑스,국가,유통채널,기타,유형,점유율:22.1%
프랑스,국가,인증,ESG 관련,품목,내용:탄소저감라벨;공정무역;B Corp
프랑스,국가,영양성분표시,뉴트리-스코어,품목,내용:영양성분 점수 부여,등급:A~E
프랑스,국가,포장재규제,플라스틱,규제,내용:일회용 플라스틱 금지,시기:2022
프랑스,국가,라벨링,간편 고구마,품목,내용:제품명,성분목록,영양정보,유통기한,알레르기유발물질
프랑스,국가,수출절차,통관,절차,내용:EORI번호 발급,품목분류 사전심사(BTI)
프랑스,국가,통관혜택,AEO,내용:신속통관,검사면제,수입검사생략
프랑스,국가,식품안전,EFSA,기관,내용:식품안전기준,검사,인증
프랑스,국가,인증,간편 고구마,기관,내용:HACCP,ISO22000,IFS,BRCGS,FSSC22000,GMP,유기농
