엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
프랑스,국가,시장규모,단백질파우더,품목,시기:2024;시장규모:37000억원
프랑스,국가,시장성장률,단백질파우더,품목,연평균성장률:3.4%;시기:2019-2023
프랑스,국가,수입액,HS CODE 1103.19,품목,2023년:8200000000원;시기:2023
프랑스,국가,주요수입국,독일,국가,수입액:31억 원
프랑스,국가,주요수입국,벨기에,국가,수입액:30억 원
프랑스,국가,주요수입국,네덜란드,국가,수입액:5억 원
프랑스,국가,시장성장률,빵 및 곡물 가공품,품목,연평균성장률:3.4%;시기:2019-2023
프랑스,국가,시장성장률,아침 시리얼,품목,연평균성장률:2.4%;시기:2019-2023
프랑스,국가,시장전망,빵 및 곡물 가공품,품목,연평균성장률:2.5%;시기:2024-2028
프랑스,국가,시장전망,아침 시리얼,품목,연평균성장률:2.2%;시기:2024-2028
프랑스,국가,시장규모,아침 시리얼,품목,2023년:7200억 원
프랑스,국가,시장규모,빵 및 곡물 가공품,품목,2023년:37000억 원
프랑스,국가,시장규모,단백질파우더,품목,2023년:약 820억 원
프랑스,국가,주요 유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:71.7%
프랑스,국가,주요 유통채널,편의점,유통채널,점유율:3.0%
프랑스,국가,주요 유통채널,전문점,유통채널,점유율:5.3%
프랑스,국가,주요 유통채널,온라인,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:42.0%
프랑스,국가,주요 유통채널,대형마트,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,편의점,유통채널,점유율:9.1%
프랑스,국가,주요 유통채널,기타,유통채널,점유율:34.4%
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:42.0%
프랑스,국가,주요 유통채널,온라인,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:71.7%
프랑스,국가,주요 유통채널,편의점,유통채널,점유율:3.0%
프랑스,국가,주요 유통채널,전문점,유통채널,점유율:5.3%
프랑스,국가,주요 유통채널,온라인,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:42.0%
프랑스,국가,주요 유통채널,대형마트,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,편의점,유통채널,점유율:9.1%
프랑스,국가,주요 유통채널,기타,유통채널,점유율:34.4%
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:71.7%
프랑스,국가,주요 유통채널,온라인,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:42.0%
프랑스,국가,주요 유통채널,대형마트,유통채널,점유율:미확인
프랑스,국가,주요 유통채널,편의점,유통채널,점유율:9.1%
프랑스,국가,주요 유통채널,기타,유통채널,점유율:34.4%
프랑스,국가,주요 유통채널,슈퍼마켓,유통채널,점유율:71.7%
프랑스,국가,주요 유통채널,온라인,유통채널,점유율:미확인
