엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사,기업,제조하는 제품,홍삼 담은 석류,품목,제품명:홍삼 담은 석류;가격:27.72유로;중량:1500ml;포장:종이상자/플라스틱 파우치;인증:ISO;HACCP;GMP;FDA
홍삼 담은 석류,품목,제품 종류,홍삼음료,품목,
홍삼 담은 석류,품목,포장 형태,종이상자/플라스틱 파우치,속성,
홍삼 담은 석류,품목,중량,1500ml,속성,
홍삼 담은 석류,품목,가격,27.72유로,속성,
홍삼 담은 석류,품목,원산지,한국,국가,
홍삼 담은 석류,품목,특징,피부에 좋은 석류 파우치,속성,
유미,기업,생산하는 제품,유기농 주스,품목,제품명:르 그헝 갸흐드 뒤 꼬흐;가격:4.90유로;중량:300ml;포장:유리병;인증:유기농;ISO;HACCP;GMP
유미,기업,생산하는 제품,유기농 주스,품목,
유미,기업,생산하는 제품,르 그헝 갸흐드 뒤 꼬흐,속성,
유미,기업,생산하는 제품,포장,유리병,속성,
조커,기업,생산하는 제품,생크 쇼 이뮤니떼,품목,제품명:생크 쇼 이뮤니떼;가격:2.80유로;중량:330ml;포장:테트라팩;인증:무가당;친환경
조커,기업,생산하는 제품,생크 쇼 이뮤니떼,품목,
조커,기업,생산하는 제품,포장,테트라팩,속성,
포스 비오,기업,생산하는 제품,그헤나드 100% 퓌흐 쥐,품목,제품명:그헤나드 100% 퓌흐 쥐;가격:8.57유로;중량:1000ml;포장:테트라팩;인증:유기농
포스 비오,기업,생산하는 제품,그헤나드 100% 퓌흐 쥐,품목,
포스 비오,기업,생산하는 제품,포장,테트라팩,속성,
아프히움 파마시,기업,생산하는 제품,리포시트,품목,제품명:리포시트;가격:26.90유로;중량:500ml;포장:플라스틱 병;인증:활성성분 15가지;유기농
아프히움 파마시,기업,생산하는 제품,리포시트,품목,
아프히움 파마시,기업,생산하는 제품,포장,플라스틱 병,속성,
유미,기업,시장,프랑스,국가,
유미,기업,시장,파리,지역,
유미,기업,시장,유기농 주스,품목,
조커,기업,시장,프랑스,국가,
포스 비오,기업,시장,프랑스,국가,
홍삼음료,품목,경쟁기업,유미,기업,업력:4년;제품수:14개
홍삼음료,품목,경쟁기업,조커,기업,업력:88년;제품수:28개
홍삼음료,품목,경쟁기업,포스 비오,기업,업력:15년;제품수:19개
유미,기업,인증,ISO;HACCP;GMP;FDA,속성,
조커,기업,인증,무가당,속성,
포스 비오,기업,인증,유기농,속성,
유미,기업,시장,프랑스,국가,
조커,기업,시장,프랑스,국가,
포스 비오,기업,시장,프랑스,국가,
유미,기업,마케팅,현지화,속성,
조커,기업,마케팅,현지화,속성,
포스 비오,기업,마케팅,현지화,속성,
유미,기업,유통,오프라인,속성,
조커,기업,유통,오프라인,속성,
포스 비오,기업,유통,온라인,속성,
유미,기업,유통,오프라인,속성,
조커,기업,유통,온라인,속성,
포스 비오,기업,유통,오프라인,속성,
고객사,제품,경쟁제품,유미,기업,제품명:유기농 주스;가격:4.90유로;중량:300ml
고객사,제품,경쟁제품,조커,기업,제품명:생크 쇼 이뮤니떼;가격:2.80유로;중량:330ml
고객사,제품,경쟁제품,포스 비오,기업,제품명:그헤나드 100% 퓌흐 쥐;가격:8.57유로;중량:1000ml
고객사,제품,경쟁제품,아프히움 파마시,기업,제품명:리포시트;가격:26.90유로;중량:500ml
