엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
필리핀,국가,수입시장규모,수산가공식품,시장,수입규모:253억원;연평균성장률:8.2%;2024년시장규모:3.63조원;2028년시장규모:4.72조원;면적:300000㎢;인구:11310만명;GDP:4370억달러;1인당GDP:3868달러
필리핀,국가,수산가공식품시장성장,수산가공식품,시장,2024년시장규모:3.63조원;2028년시장규모:4.72조원;연평균성장률:6.8%
필리핀,국가,수산가공식품시장성장,수산가공식품,시장,2024년시장규모:3.63조원;2028년시장규모:4.72조원;연평균성장률:6.8%
필리핀,국가,수산가공식품시장성장,수산가공식품,시장,2019년시장규모:2.44조원;2023년시장규모:4.6조원;연평균성장률:8.2%
필리핀,국가,수산가공식품시장성장,수산가공식품,시장,2019년시장규모:2.44조원;2023년시장규모:4.6조원;연평균성장률:8.2%
필리핀,국가,수산가공식품시장성장,수산가공식품,시장,2024년시장규모:3.63조원;2028년시장규모:4.72조원;연평균성장률:6.8%
필리핀,국가,수산가공식품시장성장,수산가공식품,시장,2024년시장규모:3.63조원;2028년시장규모:4.72조원;연평균성장률:6.8%
필리핀,국가,수산가공식품시장,수산가공식품,시장,수입규모:253억원;HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,수입규모:253억원;HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
필리핀,국가,수산가공식품시장,수산가공식품,시장,HS CODE:2008.99;수입단가/톤:191만 원;2023년수입액:53억 원;2023년수입량:3463톤
