엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장규모,신선생선,품목,시장규모:2.8조원;시기:2024년
호주,국가,시장성장률,신선생선,품목,CAGR:6.2%;시기:2019-2023
호주,국가,시장성장률,신선생선,품목,CAGR:4.2%;시기:2024-2028
호주,국가,수입액,HS CODE 0304.62,품목,수입액:245억 원;시기:2023
호주,국가,수입단가,HS CODE 0304.62,품목,단가:408만 원/톤;시기:2023
한국,국가,생산규모,메기,품목,생산규모:3762톤;시기:2022
한국,국가,생산규모,메기,품목,생산규모:3833톤;시기:2020
한국,국가,생산규모,메기,품목,생산규모:4800톤;시기:2018
한국,국가,수출액,한국대호주메기수출,품목,수출액:12796만 원;시기:2022
한국,국가,수출액,한국대호주메기수출,품목,수출액:2367만 원;시기:2023
호주,국가,수입액,HS CODE 0304.62,품목,수입액:245억 원;시기:2023
호주,국가,수입단가,HS CODE 0304.62,품목,단가:408만 원/톤;시기:2023
호주,국가,수입량,HS CODE 0304.62,품목,수입량:6006톤;시기:2019
호주,국가,수입량,HS CODE 0304.62,품목,수입량:미집계;시기:2023
호주,국가,주요 수입국,HS CODE 0304.62,품목,수입국:베트남,중국
호주,국가,주요 어종,Top 5 Australian Fish,어종,킹 조지 와팅;블루 웨어후;둑피시
호주,국가,시장점유율,유통채널,하이퍼마켓/슈퍼마켓:43.1%;온라인:6.6%;기타:31.9%
호주,기업,유통채널,울워스,기업구분,하이퍼마켓/슈퍼마켓
울워스,기업,매출액,2023년,642억9400만달러,시기:2023
울워스,기업,매장수,2024년,116개
콜스,기업,유통채널,콜스 슈퍼마켓,기업구분,하이퍼마켓/슈퍼마켓
콜스,기업,매출액,2023년,367억4600만호주달러,시기:2023
마네타스씨푸드마켓,기업,유통채널,온라인 수산물 쇼핑몰,기업구분,온라인 수산물 쇼핑몰
마네타스씨푸드마켓,기업,입점품목,생선,갑각류,조개류,가공수산물,신선생선,냉동수산물,가공수산물
이베이,기업,유통채널,온라인 종합쇼핑몰,기업구분,온라인 종합쇼핑몰
이베이,기업,수입액,2023년,101억1200만달러,시기:2023
크라운슈퍼마켓,기업,유통채널,아시안마트/한인마트,기업구분,아시안마트/한인마트
크라운슈퍼마켓,기업,매장수,2024년,1개
케이티마트,기업,유통채널,아시안마트/한인마트,기업구분,아시안마트/한인마트
케이티마트,기업,매장수,2024년,미집계
스시스시,기업,유통채널,레스토랑/음식점,기업구분,레스토랑/음식점
스시스시,기업,설립연도,2013년,시기:2013
오카미,기업,유통채널,레스토랑/음식점,기업구분,레스토랑/음식점
오카미,기업,설립연도,2013년,시기:2013
울워스,기업,홈페이지,www.woolworths.com.au,기업구분,하이퍼마켓/슈퍼마켓
콜스,기업,홈페이지,www.coles.com.au,기업구분,하이퍼마켓/슈퍼마켓
마네타스씨푸드마켓,기업,홈페이지,www.manettas.com.au,기업구분,온라인 수산물 쇼핑몰
이베이,기업,홈페이지,www.ebay.com.au,기업구분,온라인 종합쇼핑몰
크라운슈퍼마켓,기업,홈페이지,crownsupermarket.com.au,기업구분,아시안마트/한인마트
케이티마트,기업,홈페이지,www.ktmartmall.com.au,기업구분,아시안마트/한인마트
스시스시,기업,홈페이지,www.sushisushi.com.au,기업구분,레스토랑/음식점
오카미,기업,홈페이지,www.okamirestaurant.com.au,기업구분,레스토랑/음식점
롱 라이프 그로서리,기업,홈페이지,www.facebook.com/LongLifeGrocery,기업구분,아시안마트
호주,국가,수출검역,호주 농수산임업부,관계,수출검역기관
호주,국가,수입검사,호주 식품검역검사청,관계,수입검사기관
호주,국가,수입허가,호주 농수산임업부,관계,수입허가기관
호주,국가,HS CODE,0304.62,속성,품목코드
호주,국가,관세율,0%,속성,관세율
호주,국가,수입단가,408만 원/톤,속성,단가
호주,국가,수입량,6006톤,속성,수입량
호주,국가,수입액,245억 원,속성,수입액
호주,국가,수입액,미집계,속성,수입액
호주,국가,수입단가,소폭 하락,속성,단가변동
호주,국가,수입단가,664만 원,속성,중국 수입단가
호주,국가,수입단가,408만 원,속성,베트남 수입단가
한국,국가,수출액,2022년,12796만 원,시기:2022
한국,국가,수출액,2023년,2367만 원,시기:2023
한국,국가,수출량,2022년,23790kg,시기:2022
한국,국가,수출량,2023년,41358kg,시기:2023
한국,국가,수출대상국,중국,일본,속성,수출국
한국,국가,수출대상국,중국,일본,속성,수출국
한국,국가,수출액,2022년,12796만 원,시기:2022
한국,국가,수출액,2023년,25367만 원,시기:2023
한국,국가,수출량,2022년,23790kg,시기:2022
한국,국가,수출량,2023년,41358kg,시기:2023
HS CODE,품목,0304.62,속성,품목코드
HS CODE,품명,메기,속성,품명
HS CODE,품목,어류의필레와그밖의어육,속성,품목명
HS CODE,품목,메기,속성,품명
관세,0%,속성,관세율
HS CODE,수입단가,408만 원/톤,속성,단가
HS CODE,수입단가,664만 원,속성,중국 수입단가
HS CODE,수입단가,408만 원,속성,베트남 수입단가
