엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장규모,수산가공식품,품목,시장규모:1.31조원;시기:2023
호주,국가,시장성장률,수산가공식품,품목,연평균성장률:2.8%
호주,국가,시장예상성장률,수산가공식품,품목,연평균성장률:3.9%;예상최종시장규모:1.58조원
호주,국가,수입액,HS CODE 1605.10,품목,수입액:85억 원;시기:2023
호주,국가,수입액,호주-한국,국가,수입액:6.2억 원;시기:2023
호주,국가,수입단가,HS CODE 1605.10,품목,수입단가:2003만 원/톤;시기:2023
호주,국가,수입량,호주-한국,국가,수입량:24톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입단가,호주-글로벌,국가,수입단가:2003만 원/톤;시기:2023
호주,국가,수입액,호주-한국,국가,수입액:6.2억 원;시기:2023
호주,국가,수입단가,호주-한국,국가,수입단가:18833달러/톤;시기:2023
호주,국가,수입량,호주-한국,국가,수입량:24톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입단가,호주-글로벌,국가,수입단가:2003만 원/톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입단가,호주-글로벌,국가,수입단가:13997달러/톤;시기:2019
호주,국가,수입단가,호주-글로벌,국가,수입단가:11992달러/톤;시기:2020
호주,국가,수입단가,호주-글로벌,국가,수입단가:14161달러/톤;시기:2021
호주,국가,수입단가,호주-글로벌,국가,수입단가:14227달러/톤;시기:2022
호주,국가,수입단가,호주-글로벌,국가,수입단가:14492달러/톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입액,호주-한국,국가,수입액:6.2억 원;시기:2023
호주,국가,수입단가,호주-한국,국가,수입단가:2603만 원/톤;시기:2023
호주,국가,수입액,호주-한국,국가,수입액:6.2억 원;시기:2023
호주,국가,수입단가,호주-한국,국가,수입단가:18833달러/톤;시기:2023
호주,국가,수입량,호주-한국,국가,수입량:24톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입단가,호주-글로벌,국가,수입단가:13997달러/톤;시기:2019
호주,국가,수입단가,호주-글로벌,국가,수입단가:11992달러/톤;시기:2020
호주,국가,수입단가,호주-글로벌,국가,수입단가:14161달러/톤;시기:2021
호주,국가,수입단가,호주-글로벌,국가,수입단가:14227달러/톤;시기:2022
호주,국가,수입단가,호주-글로벌,국가,수입단가:14492달러/톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입액,호주-한국,국가,수입액:6.2억 원;시기:2023
호주,국가,수입단가,호주-한국,국가,수입단가:2603만 원/톤;시기:2023
호주,국가,수입량,호주-한국,국가,수입량:24톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입단가,호주-글로벌,국가,수입단가:13997달러/톤;시기:2019
호주,국가,수입단가,호주-글로벌,국가,수입단가:11992달러/톤;시기:2020
호주,국가,수입단가,호주-글로벌,국가,수입단가:14161달러/톤;시기:2021
호주,국가,수입단가,호주-글로벌,국가,수입단가:14227달러/톤;시기:2022
호주,국가,수입단가,호주-글로벌,국가,수입단가:14492달러/톤;시기:2023
호주,국가,수입액,호주-글로벌,국가,수입액:85억 원;시기:2023
호주,국가,수입액,호주-한국,국가,수입액:6.2억 원;시기:2023
