엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
S사,품목,제조,전장김,품목,제품명:맛찬김 구운 김밥김;중량:20g;가격:2.14호주달러;포장:폴리프로필렌;인증:HACCP
호주,국가,수입,한국,국가,국가:호주;시기:2024년
콜스,유통업체,판매,야키 노리 포 스시,품목,원산지:중국;가격:4.00호주달러;중량:25g
울워스,유통업체,판매,스시 노리 로스티드 씨위드,품목,원산지:중국;가격:3.80호주달러;중량:28g
아마존,유통업체,판매,야키 노리 포 스시,품목,원산지:중국;가격:4.00호주달러;중량:25g
콜스,유통업체,판매,스시 노리 로스티드 씨위드,품목,원산지:중국;가격:3.80호주달러;중량:28g
타오케노이,기업,제조,타오케노이 빅 롤,품목,원산지:태국;중량:27g;가격:5.50호주달러
야마구찌,기업,제조,로스티드 레드 씨위드,품목,원산지:일본;중량:23g;가격:5.99호주달러
K사,기업,제조,K사 김,품목,원산지:한국;중량:22g;가격:2.58호주달러
C사,기업,제조,B브랜드 로스티드 씨위드,품목,원산지:한국;중량:22g;가격:2.38호주달러
D사,기업,제조,드라이드 레버,품목,원산지:한국;중량:100g;가격:9.99호주달러
크라운아시안,유통업체,판매,전장김,품목,원산지:한국;중량:50g;가격:4.99호주달러
통리,유통업체,판매,포 씨즈 씨위드,품목,원산지:중국;중량:75g;가격:15.99호주달러
제트시티,유통업체,판매,야키 스시 노리 로스티드 씨위드,품목,원산지:중국;중량:25g;가격:3.99호주달러
호주,국가,시장,한국,국가,국가:호주;시기:2024년
호주,국가,시장,중국,국가,국가:중국;시기:2024년
호주,국가,시장,일본,국가,국가:일본;시기:2024년
호주,국가,시장,태국,국가,국가:태국;시기:2024년
